regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.0,OULAD,6829,6828,0.9998535656757944,0.28278631943325366,0.5006678383128296,0.2827329263472147,5.339308603896642e-05
global,0.0,Oviedo,1233,1233,1.0,0.46829342034583776,0.5450121654501217,0.46829342034583776,0.0
global,0.0,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.0,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.0,ALL,11837,11836,0.9999155191349159,0.37211527688715895,0.5216255491720175,0.3720769267695604,3.835011759856233e-05
global,0.05,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.05,OULAD,6829,6828,0.9998535656757944,0.28278631943325366,0.5006678383128296,0.2827329263472147,5.339308603896642e-05
global,0.05,Oviedo,1233,1233,1.0,0.46829342034583776,0.5450121654501217,0.46829342034583776,0.0
global,0.05,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.05,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.05,ALL,11837,11836,0.9999155191349159,0.37211527688715895,0.5216255491720175,0.3720769267695604,3.835011759856233e-05
global,0.1,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.1,OULAD,6829,6827,0.9997071313515888,0.28285856945431415,0.5006913724915776,0.2827329263472147,0.00012564310709944904
global,0.1,Oviedo,1233,1233,1.0,0.46829342034583776,0.5450121654501217,0.46829342034583776,0.0
global,0.1,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.1,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.1,ALL,11837,11835,0.9998310382698319,0.3721645020541411,0.5216408956485002,0.3720769267695604,8.757528458069874e-05
global,0.15,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.15,OULAD,6829,6826,0.9995606970273833,0.28291011899257634,0.5007237034866686,0.2827329263472147,0.0001771926453616457
global,0.15,Oviedo,1233,1233,1.0,0.46829342034583776,0.5450121654501217,0.46829342034583776,0.0
global,0.15,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.15,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.15,ALL,11837,11834,0.9997465574047478,0.37220178303105317,0.5216613148555012,0.3720769267695604,0.0001248562614927784
global,0.2,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.2,OULAD,6829,6823,0.9991213940547664,0.28308782918582387,0.5008236845962186,0.2827329263472147,0.0003549028386091724
global,0.2,Oviedo,1233,1233,1.0,0.46829342034583776,0.5450121654501217,0.46829342034583776,0.0
global,0.2,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.2,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.2,ALL,11837,11831,0.9994931148094957,0.37232691122314543,0.5217242836615671,0.3720769267695604,0.0002499844535850393
global,0.25,KU Leuven,1314,1314,1.0,0.5999742992790641,0.619558599695586,0.5999742992790641,0.0
global,0.25,OULAD,6829,6821,0.9988285254063552,0.28319839559074045,0.5009001612666765,0.2827329263472147,0.00046546924352575125
global,0.25,Oviedo,1233,1232,0.9991889699918897,0.46858917419472984,0.545275974025974,0.46829342034583776,0.00029575384889207745
global,0.25,UKZN,2421,2421,1.0,0.44998747338310097,0.5151094589012805,0.44998747338310097,0.0
global,0.25,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.25,ALL,11837,11828,0.9992396722142435,0.37242845449713274,0.5217974298275279,0.3720769267695604,0.00035152772757235384
global,0.3,KU Leuven,1314,1313,0.9992389649923896,0.6000551854781505,0.6196496572734197,0.5999742992790641,8.088619908641625e-05
global,0.3,OULAD,6829,6814,0.9978034851369161,0.28355883180172503,0.5011065453478133,0.2827329263472147,0.0008259054545103339
global,0.3,Oviedo,1233,1231,0.9983779399837794,0.46862168251773834,0.5453127538586515,0.46829342034583776,0.00032826217190057294
global,0.3,UKZN,2421,2419,0.9991738950846758,0.45041997784985344,0.5153038445638694,0.44998747338310097,0.00043250446675247023
global,0.3,Zambia,40,40,1.0,0.45749346366403526,0.5555,0.45749346366403526,0.0
global,0.3,ALL,11837,11817,0.9983103826983188,0.3727495383409037,0.5219734281120421,0.3720769267695604,0.0006726115713432956
global,0.35,KU Leuven,1314,1313,0.9992389649923896,0.6000551854781505,0.6196496572734197,0.5999742992790641,8.088619908641625e-05
global,0.35,OULAD,6829,6803,0.9961927075706546,0.28409866427889163,0.5014229016610319,0.2827329263472147,0.0013657379316769358
global,0.35,Oviedo,1233,1230,0.9975669099756691,0.468710450805516,0.5453495934959349,0.46829342034583776,0.00041703045967822483
global,0.35,UKZN,2421,2418,0.9987608426270136,0.4505829131395743,0.515417700578991,0.44998747338310097,0.0005954397564733593
global,0.35,Zambia,40,39,0.975,0.45634473628597544,0.5584615384615385,0.45749346366403526,-0.0011487273780598217
global,0.35,ALL,11837,11803,0.997127650587142,0.3731607603829145,0.5222079132423959,0.3720769267695604,0.0010838336133541238
global,0.4,KU Leuven,1314,1312,0.9984779299847792,0.6001989199183786,0.6198323170731708,0.5999742992790641,0.00022462063931449894
global,0.4,OULAD,6829,6782,0.9931175867623371,0.28480764367120454,0.5019610734296667,0.2827329263472147,0.0020747173239898387
global,0.4,Oviedo,1233,1228,0.9959448499594485,0.46923896030282874,0.5454723127035831,0.46829342034583776,0.0009455399569909817
global,0.4,UKZN,2421,2405,0.9933911606774061,0.45188507684858426,0.5161496881496881,0.44998747338310097,0.0018976034654832885
global,0.4,Zambia,40,38,0.95,0.4635922055090113,0.5631578947368421,0.45749346366403526,0.006098741844976052
global,0.4,ALL,11837,11765,0.9939173777139478,0.373961069204682,0.5227454313642158,0.3720769267695604,0.001884142435121583
global,0.45,KU Leuven,1314,1311,0.997716894977169,0.6001891852562649,0.6197711670480549,0.5999742992790641,0.00021488597720076275
global,0.45,OULAD,6829,6722,0.9843315273100015,0.28750848545998,0.5038381434096995,0.2827329263472147,0.004775559112765282
global,0.45,Oviedo,1233,1217,0.9870235198702352,0.4715075020064789,0.5472966310599835,0.46829342034583776,0.0032140816606411327
global,0.45,UKZN,2421,2372,0.979760429574556,0.45357839643476544,0.5172344013490725,0.44998747338310097,0.003590923051664474
global,0.45,Zambia,40,38,0.95,0.4635922055090113,0.5631578947368421,0.45749346366403526,0.006098741844976052
global,0.45,ALL,11837,11660,0.9850468868801217,0.3762271999337426,0.5243276157804458,0.3720769267695604,0.0041502731641822055
global,0.5,KU Leuven,1314,1309,0.9961948249619482,0.6006189722621236,0.6200458365164248,0.5999742992790641,0.00064467298305948
global,0.5,OULAD,6829,6665,0.9759847708302826,0.29022852996949544,0.5055153788447111,0.2827329263472147,0.007495603622280744
global,0.5,Oviedo,1233,1206,0.9781021897810219,0.4735414274868324,0.5485737976782753,0.46829342034583776,0.005248007140994659
global,0.5,UKZN,2421,2348,0.969847170590665,0.4548235630505859,0.5181516183986371,0.44998747338310097,0.004836089667484944
global,0.5,Zambia,40,37,0.925,0.4671127155678134,0.5713513513513514,0.45749346366403526,0.009619251903778159
global,0.5,ALL,11837,11565,0.977021204697136,0.37845942455734644,0.5257449200172936,0.3720769267695604,0.006382497787786046
global,0.55,KU Leuven,1314,1296,0.9863013698630136,0.6025065558662793,0.6214197530864197,0.5999742992790641,0.0025322565872152314
global,0.55,OULAD,6829,6535,0.9569483086835554,0.2955735624391443,0.5091629686304514,0.2827329263472147,0.012840636091929591
global,0.55,Oviedo,1233,1184,0.9602595296025953,0.47659672226722005,0.5506081081081081,0.46829342034583776,0.008303301921382289
global,0.55,UKZN,2421,2284,0.9434118133002891,0.45783764935615423,0.5198511383537653,0.44998747338310097,0.007850175973053264
global,0.55,Zambia,40,37,0.925,0.4671127155678134,0.5713513513513514,0.45749346366403526,0.009619251903778159
global,0.55,ALL,11837,11336,0.9576750865928867,0.3828243302498554,0.528682074805928,0.3720769267695604,0.010747403480295015
global,0.6,KU Leuven,1314,1282,0.9756468797564688,0.6040897800400278,0.622402496099844,0.5999742992790641,0.004115480760963686
global,0.6,OULAD,6829,6405,0.9379118465368282,0.30084867854893643,0.5128868071818892,0.2827329263472147,0.018115752201721735
global,0.6,Oviedo,1233,1148,0.9310624493106245,0.4831285808787466,0.5544599303135889,0.46829342034583776,0.014835160532908842
global,0.6,UKZN,2421,2211,0.9132589838909542,0.4606742178047356,0.5218724559023066,0.44998747338310097,0.010686744421634642
global,0.6,Zambia,40,36,0.9,0.47015278620527784,0.5722222222222223,0.45749346366403526,0.01265932254124258
global,0.6,ALL,11837,11082,0.9362169468615359,0.3872483929647821,0.5318480418696986,0.3720769267695604,0.015171466195221694
global,0.65,KU Leuven,1314,1255,0.9550989345509894,0.6063437162370279,0.6240318725099602,0.5999742992790641,0.0063694169579637805
global,0.65,OULAD,6829,6087,0.8913457314394494,0.3134675341149506,0.5215409889929358,0.2827329263472147,0.0307346077677359
global,0.65,Oviedo,1233,1073,0.870235198702352,0.49358176627765304,0.5618080149114631,0.46829342034583776,0.02528834593181528
global,0.65,UKZN,2421,2082,0.8599752168525403,0.4659156376226717,0.5253218059558117,0.44998747338310097,0.01592816423957072
global,0.65,Zambia,40,35,0.875,0.46426599506284366,0.5685714285714285,0.45749346366403526,0.006772531398808401
global,0.65,ALL,11837,10532,0.8897524710653038,0.3973544575207651,0.538759969616407,0.3720769267695604,0.025277530751204702
global,0.7,KU Leuven,1314,1184,0.9010654490106544,0.6118057428697847,0.6267398648648648,0.5999742992790641,0.011831443590720636
global,0.7,OULAD,6829,5574,0.8162249231219798,0.334987716266922,0.5361248654467169,0.2827329263472147,0.05225478991970728
global,0.7,Oviedo,1233,916,0.7429034874290349,0.5232243708882828,0.5788427947598254,0.46829342034583776,0.05493095054244501
global,0.7,UKZN,2421,1814,0.7492771581990912,0.47428608531590216,0.5310474090407938,0.44998747338310097,0.024298611932801195
global,0.7,Zambia,40,29,0.725,0.4944492646473428,0.5813793103448276,0.45749346366403526,0.03695580098330753
global,0.7,ALL,11837,9517,0.8040043930049844,0.414580964715891,0.5506798360827991,0.3720769267695604,0.04250403794633062
global,0.75,KU Leuven,1314,1111,0.845509893455099,0.6168316019945453,0.6293789378937894,0.5999742992790641,0.016857302715481248
global,0.75,OULAD,6829,5110,0.7482793966905843,0.3555939639314707,0.5508023483365949,0.2827329263472147,0.072861037584256
global,0.75,Oviedo,1233,824,0.6682887266828873,0.5364078525902609,0.5892961165048544,0.46829342034583776,0.06811443224442315
global,0.75,UKZN,2421,1587,0.6555142503097894,0.4838222265991859,0.5379080025204789,0.44998747338310097,0.03383475321608492
global,0.75,Zambia,40,26,0.65,0.5118329962314209,0.6023076923076923,0.45749346366403526,0.05433953256738561
global,0.75,ALL,11837,8658,0.7314353298977782,0.4302978364004452,0.5623400323400323,0.3720769267695604,0.05822090963088483
global,0.8,KU Leuven,1314,924,0.7031963470319634,0.6273053240583768,0.6373160173160173,0.5999742992790641,0.027331024779312707
global,0.8,OULAD,6829,4232,0.6197100600380729,0.3972689496641112,0.579976370510397,0.2827329263472147,0.1145360233168965
