regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.737579908675799,0.6427296930939791,1.0,1.0,1.0,1000,0.6427296930939791,0.5839396173367926,0.6899289891650205,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.6540254795724117,0.5116104119697349,1.0,1.0,1.0,1000,0.5116104119697349,0.4555290935396209,0.5633618858517038,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.6627694728560188,0.5308508834058673,1.0,1.0,1.0,1000,0.5308508834058673,0.47915196234811963,0.5822346075825796,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.7322263527467988,0.609406949972998,1.0,1.0,1.0,1000,0.609406949972998,0.5488542856925465,0.6648345573137691,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.689,0.5696595222738446,1.0,1.0,1.0,1000,0.5696595222738446,0.512471214831475,0.6164499556357834,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.6802677894736843,0.5483121178653682,1.0,1.0,1.0,1000,0.5483121178653682,0.5119456332020347,0.5807820260539135,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,716,0.855027932960894,0.6427296930939791,0.5449010654490106,0.47373214912168116,0.6059829059829059,1000,0.7769936552349408,0.7235045251498238,0.8213586802429195,1000,0.1342639621409617,0.1137743871256758,0.16116483711978533,1000,0.8510565402761182,0.7824548233401045,0.9333914710748467,1000
global,0.8,OULAD,6829,5187,0.6854058222479275,0.5116104119697349,0.759554839654415,0.6807211646797637,0.8140809284035521,1000,0.5581582117771066,0.5006245575684964,0.6112938815835611,1000,0.04654779980737167,0.03587858097203961,0.05932114171534198,1000,0.4940415940921369,0.34539032669829967,0.6366447882711667,1000
global,0.8,Oviedo,1271,656,0.7800609756097562,0.5308508834058673,0.5161290322580645,0.42714875773530897,0.6025852411283515,1000,0.6766743494976242,0.6364978579315824,0.7142885865500437,1000,0.1458234660917569,0.11685033544483263,0.1774586677988319,1000,0.812678999392643,0.708487509737159,0.9327859708252733,1000
global,0.8,UKZN,2421,1125,0.820408888888889,0.609406949972998,0.4646840148698885,0.30412076529108484,0.6312400038095842,1000,0.7277788390368927,0.677666913955332,0.7573931570032559,1000,0.11837188906389462,0.07782327687110609,0.1532241696489347,1000,0.7777473032286758,0.5804790352932717,0.8959052901924165,1000
global,0.8,Zambia,40,16,0.8,0.5696595222738446,0.4,0.2777777777777778,0.5,1000,0.6942018735888847,0.689758426868404,0.6962216220981942,1000,0.1245423513150401,0.07977166646241074,0.1772872120369291,1000,0.8431305308937009,0.762153941447415,0.8431305308937009,1000
global,0.8,ALL,11875,7700,0.7292051948051949,0.5483121178653682,0.6484210526315789,0.5887365173794533,0.699825613946359,1000,0.6136689478961607,0.5754773171426019,0.651160752402956,1000,0.06535683003079251,0.053555341518891575,0.07749074600276992,1000,0.5116851013435851,0.4114159992012956,0.6099625139887472,1000
cohort_calibrated,0.6484210526315789,KU Leuven,1314,855,0.8332631578947369,0.6427296930939791,0.6506849315068494,0.6497764530551415,0.6516464471403813,1000,0.754734048346341,0.695154046597544,0.799287051388467,1000,0.11200435525236185,0.10379964111349482,0.12317102346912884,1000,0.8615346629000342,0.8295842425215895,0.8965505677102621,1000
cohort_calibrated,0.6484210526315789,OULAD,6829,4439,0.7053705789592251,0.5116104119697349,0.6500219651486309,0.6498052576105489,0.6503059245227758,1000,0.5858817696571275,0.5317645074721854,0.6357374754735907,1000,0.07427135768739257,0.06514487330484954,0.08400199091604486,1000,0.55578423732125,0.4789939489230599,0.6241216120626483,1000
cohort_calibrated,0.6484210526315789,Oviedo,1271,833,0.7484033613445378,0.5308508834058673,0.6553894571203777,0.653388266847744,0.6584058379477018,1000,0.6352782362811548,0.5887973647051958,0.6805778444116322,1000,0.10442735287528748,0.09377081102894164,0.11686270352933786,1000,0.7655578450307132,0.7221599673940976,0.8005606796409582,1000
