institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_strict,shap,shap,self,0.8127760461337853,0.7966182843930925,0.8260911796945822,0.8540035144237809,6829
OULAD,tau_strict,occlusion,occlusion,self,0.6371943183482209,0.5999337420398758,0.6704346233824917,0.6883672572851077,6829
OULAD,tau_strict,lime,lime,self,0.7276126324010348,0.6949749572117461,0.7587854704043074,0.8021701566847269,6829
OULAD,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8127760461337853,0.7966182843930925,0.8260911796945822,0.8540035144237809,6829
OULAD,tau_strict,shap,occlusion,cross,0.2779476880809433,0.25339531014946715,0.3056941132119787,0.5006355249670523,6829
OULAD,tau_strict,shap,lime,cross,0.5235445474133423,0.48064354187497915,0.5569647337390002,0.6589046712549421,6829
OULAD,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,6829
OULAD,tau_strict,occlusion,lime,cross,0.059484411717535164,0.030411857484351944,0.08417117172036875,0.39196661297408114,6829
OULAD,tau_strict,occlusion,kernelshap_prob,cross,0.2779476880809433,0.25339531014946715,0.3056941132119787,0.5006355249670523,6829
OULAD,tau_strict,lime,kernelshap_prob,cross,0.5235445474133423,0.48064354187497915,0.5569647337390002,0.6589046712549421,6829
OULAD,tau_b,shap,shap,self,0.8127760461337853,0.7966182843930925,0.8260911796945822,,6829
OULAD,tau_b,occlusion,occlusion,self,0.6369314684242275,0.5992436148415952,0.6703987520952723,,6829
OULAD,tau_b,lime,lime,self,0.7276126324010348,0.6949749572117461,0.7587854704043074,,6829
OULAD,tau_b,kernelshap_prob,kernelshap_prob,self,0.8127760461337853,0.7966182843930925,0.8260911796945822,,6829
OULAD,tau_b,shap,occlusion,cross,0.2827329263472147,0.25865978127405903,0.3109134314690962,,6829
OULAD,tau_b,shap,lime,cross,0.5235445474133423,0.48064354187497915,0.5569647337390002,,6829
OULAD,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,6829
OULAD,tau_b,occlusion,lime,cross,0.06444131739733516,0.03562333942216063,0.08977672490567694,,6829
OULAD,tau_b,occlusion,kernelshap_prob,cross,0.2827329263472147,0.25865978127405903,0.3109134314690962,,6829
OULAD,tau_b,lime,kernelshap_prob,cross,0.5235445474133423,0.48064354187497915,0.5569647337390002,,6829
KU Leuven,tau_strict,shap,shap,self,0.8346307168224978,0.8111835605611539,0.8578135479543931,0.8350152207001522,1314
KU Leuven,tau_strict,occlusion,occlusion,self,0.7855330869029499,0.7245253716299462,0.8395412040148882,0.7364611872146118,1314
