target,institution,source_kind,source,attribute,groups,recall_best,recall_worst,recall_gap,worst_group
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN103_2020,highest_education,2,0.48214285714285715,0.46153846153846156,0.020604395604395587,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2019,gender,2,0.43478260869565216,0.22033898305084745,0.2144436256448047,M
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2019,age_band,2,0.37735849056603776,0.2708333333333333,0.10652515723270445,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2019,highest_education,2,0.375,0.19230769230769232,0.18269230769230768,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2021,gender,2,0.4067796610169492,0.32608695652173914,0.08069270449521004,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2021,age_band,2,0.4528301886792453,0.2916666666666667,0.1611635220125786,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN211_2021,highest_education,2,0.46153846153846156,0.35714285714285715,0.10439560439560441,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2018,gender,2,0.4067796610169492,0.34782608695652173,0.05895357406042745,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2018,age_band,2,0.3958333333333333,0.3584905660377358,0.03734276729559749,0-35
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2018,highest_education,2,0.46153846153846156,0.375,0.08653846153846156,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2019,gender,2,0.4915254237288136,0.4782608695652174,0.013264554163596176,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2019,age_band,2,0.5849056603773585,0.3958333333333333,0.18907232704402516,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN212_2019,highest_education,2,0.5,0.4230769230769231,0.07692307692307693,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2018,gender,2,0.4067796610169492,0.32608695652173914,0.08069270449521004,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2018,age_band,2,0.4339622641509434,0.3333333333333333,0.1006289308176101,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2018,highest_education,2,0.42857142857142855,0.34615384615384615,0.0824175824175824,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2019,gender,2,0.3695652173913043,0.3389830508474576,0.03058216654384671,M
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2019,age_band,2,0.41509433962264153,0.2916666666666667,0.12342767295597484,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN2IP_2019,highest_education,2,0.39285714285714285,0.23076923076923078,0.16208791208791207,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2018,gender,2,0.3728813559322034,0.3695652173913043,0.003316138540899072,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2018,age_band,2,0.4716981132075472,0.2916666666666667,0.1800314465408805,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2018,highest_education,2,0.4107142857142857,0.38461538461538464,0.02609890109890106,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2019,gender,2,0.3050847457627119,0.17391304347826086,0.13117170228445102,F
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2019,age_band,2,0.32075471698113206,0.1875,0.13325471698113206,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3ND_2019,highest_education,2,0.26785714285714285,0.19230769230769232,0.07554945054945053,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2018,gender,2,0.2826086956521739,0.1864406779661017,0.0961680176860722,M
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2018,age_band,2,0.24528301886792453,0.20833333333333334,0.03694968553459119,35-55
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2018,highest_education,2,0.26785714285714285,0.11538461538461539,0.15247252747252746,HE Qualification
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2019,gender,2,0.34782608695652173,0.2542372881355932,0.09358879882092852,M
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2019,age_band,2,0.3125,0.2830188679245283,0.029481132075471705,0-35
oulad_AAA_2013J,OULAD,transferred,ukzn_ISTN3SA_2019,highest_education,2,0.34615384615384615,0.2857142857142857,0.06043956043956045,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2020,gender,2,0.3728813559322034,0.2391304347826087,0.1337509211495947,F
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2020,age_band,2,0.37735849056603776,0.25,0.12735849056603776,35-55
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2020,highest_education,2,0.3392857142857143,0.3076923076923077,0.03159340659340659,HE Qualification
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2021,gender,2,0.2542372881355932,0.2391304347826087,0.015106853352984506,F
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2021,age_band,2,0.3125,0.18867924528301888,0.12382075471698112,0-35
oulad_AAA_2013J,OULAD,transferred,zambia_ICT1110_2021,highest_education,2,0.2692307692307692,0.21428571428571427,0.054945054945054944,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C1112_1415,gender,2,0.4406779661016949,0.30434782608695654,0.13633014001473837,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C1112_1415,age_band,2,0.49056603773584906,0.2916666666666667,0.19889937106918237,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C1112_1415,highest_education,2,0.42857142857142855,0.3076923076923077,0.12087912087912084,HE Qualification
oulad_AAA_2013J,OULAD,transferred,oviedo_C1127_1415,gender,2,0.4406779661016949,0.41304347826086957,0.02763448784082534,F
oulad_AAA_2013J,OULAD,transferred,oviedo_C1127_1415,age_band,2,0.4528301886792453,0.4166666666666667,0.03616352201257861,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C1127_1415,highest_education,2,0.4230769230769231,0.4107142857142857,0.012362637362637374,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C1200_1415,gender,2,0.32608695652173914,0.288135593220339,0.03795136330140014,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C1200_1415,age_band,2,0.3125,0.2830188679245283,0.029481132075471705,0-35
oulad_AAA_2013J,OULAD,transferred,oviedo_C1200_1415,highest_education,2,0.38461538461538464,0.26785714285714285,0.11675824175824179,A Level or Equivalent
oulad_AAA_2013J,OULAD,transferred,oviedo_C1303_1415,gender,2,0.5217391304347826,0.423728813559322,0.09801031687546058,M
oulad_AAA_2013J,OULAD,transferred,oviedo_C1303_1415,age_band,2,0.5471698113207547,0.3958333333333333,0.1513364779874214,35-55
oulad_AAA_2013J,OULAD,transferred,oviedo_C1303_1415,highest_education,2,0.48214285714285715,0.4230769230769231,0.05906593406593408,HE Qualification
