group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.34104302026296796,0.2694568767529381,0.44442763358080156,1000,0.40635291192871154,0.3085669213388227,0.5089540822577049,1000
OULAD,6829,19,0.39296314688243444,0.30740029713598865,0.4749257894793159,1000,0.4203717971527479,0.3309949329854257,0.5080946070375462,1000
Oviedo,1233,20,0.4624176763017326,0.3481750343140465,0.5426870262722631,1000,0.4175656397933768,0.3327107810518358,0.5001824828404675,1000
UKZN,2421,16,0.35644049032074226,0.24813790102611244,0.4835027426827129,1000,0.38137025965994453,0.3143603181098762,0.43926123686181984,1000
Zambia,40,2,0.44679678949288165,0.006214437518044034,0.44679678949288165,1000,0.22192934624502547,0.006214437518044034,0.43764425497200693,1000
ALL,11837,63,0.31495897956567703,0.24016138157457534,0.38634389251057993,1000,0.4019409088950981,0.3606653512083219,0.4422673737846572,1000
