feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_oulad,student_group,gradient_boosting,assessment_submission_rate_due_to_date,10.742198714137379,0.06973551927747436,0.7112055232988096,0.8540565111627094,0.7857195951036449,higher values generally align with higher predicted final_grade,0.6673300725248776,1.0,positive_permutation_rmse_increase,10.742198714137379,0.3806842532457873,1
B_lms_oulad,student_group,gradient_boosting,cumulative_submitted_weight_to_date,4.347381338952138,0.04533247539800302,0.04475342118453846,0.6095018107471311,0.5613473337640021,higher values generally align with higher predicted final_grade,44.106404958677686,22.5,positive_permutation_rmse_increase,4.347381338952138,0.1540633963897552,2
B_lms_oulad,student_group,gradient_boosting,is_unregistered_by_week,3.8046683628499456,0.05719226326455347,0.00712305729551842,-0.6878587310131606,-0.6312192356109179,higher values generally align with lower predicted final_grade,0.26906729634002363,0.0,positive_permutation_rmse_increase,3.8046683628499456,0.13483062202649929,3
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_score_mean_to_date,3.444636463628879,0.04650435723945495,0.134446172108653,0.5114626662495128,0.48143427767812325,higher values generally align with higher predicted final_grade,71.46120874796199,73.0,positive_permutation_rmse_increase,3.444636463628879,0.12207173733753361,4
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_weighted_score_to_date,2.6390411265711844,0.030874667075147206,0.03193832991790854,0.5042980166716766,0.47697797970746575,higher values generally align with higher predicted final_grade,70.78265607562656,72.11111111111111,positive_permutation_rmse_increase,2.6390411265711844,0.09352288365616475,5
B_lms_oulad,student_group,gradient_boosting,current_week_clicks,1.077760620497455,0.016481184461325665,0.019663987847575736,0.3975370058178693,0.3751308535672394,higher values generally align with higher predicted final_grade,22.49887839433294,0.0,positive_permutation_rmse_increase,1.077760620497455,0.03819390312076692,6
B_lms_oulad,student_group,gradient_boosting,cumulative_clicks_to_date,0.6677303983821811,0.019285397595362457,0.020075016292996187,0.5593585777118988,0.5159940707231425,higher values generally align with higher predicted final_grade,687.6691263282172,397.0,positive_permutation_rmse_increase,0.6677303983821811,0.0236631675546178,7
B_lms_oulad,student_group,gradient_boosting,cumulative_content_clicks_to_date,0.4557373584503028,0.015197401046898363,0.0013214767442484793,0.5422626429724071,0.49979880960893114,higher values generally align with higher predicted final_grade,450.6720779220779,274.0,positive_permutation_rmse_increase,0.4557373584503028,0.016150514489136687,8
B_lms_oulad,student_group,gradient_boosting,cumulative_social_clicks_to_date,0.3151681850178984,0.024076632985134155,0.0034902543346991464,0.5408837990118038,0.4996926883289708,higher values generally align with higher predicted final_grade,225.77077922077922,102.0,positive_permutation_rmse_increase,0.3151681850178984,0.011168995133414211,9
B_lms_oulad,student_group,gradient_boosting,current_week_activity_types,0.2365300795925954,0.01009287918873583,0.010678728286452815,0.6528264210708441,0.6181529342477998,higher values generally align with higher predicted final_grade,2.093860684769776,0.0,positive_permutation_rmse_increase,0.2365300795925954,0.008382201736909917,10
