institution,students,gate_pass_rate,mean_self_tau_shap,mean_cross_tau
KU Leuven,1314,0.8386605783866058,0.8756251358991086,0.5843009349858665
OULAD,6829,0.7708302826182457,0.8567481817738078,0.22527038052005105
Oviedo,1271,0.6577498033044846,0.8283016747218165,0.49975647221910013
UKZN,2421,0.6968194960760017,0.8397356464270963,0.4751008044688342
Zambia,40,0.15,0.720952380952381,0.5052380952380953
