reference,tau,tau_sd,jaccard_top3
"floor (same model, reseeded)",0.7055177626606199,0.2465487565879206,0.746984126984127
"ceiling (disjoint halves, same cohort)",0.18911564625850338,0.35032665318964157,0.4082539682539683
"ceiling, ladder-matched evaluation set",0.33786848072562353,0.3384837896956921,0.4869841269841271
random rankings (analytic),0.0,,0.3028571428571429
