cohort_id,institution,representation,seed,n_students,floor_tau,floor_jaccard,ceiling_tau,ceiling_jaccard,ceiling_full_tau,ceiling_full_jaccard
oulad_DDD_2013B,OULAD,raw,3,1303,0.9047619047619049,1.0,0.6190476190476191,0.5,0.6190476190476191,0.5
oulad_DDD_2013B,OULAD,raw,4,1303,0.7142857142857143,0.5,0.5238095238095238,1.0,0.23809523809523814,0.5
oulad_DDD_2013J,OULAD,raw,0,1938,0.9047619047619049,1.0,0.14285714285714288,0.5,0.14285714285714288,0.2
oulad_DDD_2013J,OULAD,raw,1,1938,1.0,1.0,0.23809523809523814,0.2,0.14285714285714288,0.2
oulad_DDD_2013J,OULAD,raw,2,1938,0.8095238095238096,1.0,0.4285714285714286,0.5,0.23809523809523814,0.2
oulad_DDD_2013J,OULAD,raw,3,1938,0.9047619047619049,1.0,-0.04761904761904762,0.2,0.04761904761904762,0.2
oulad_DDD_2013J,OULAD,raw,4,1938,0.8095238095238096,0.5,0.23809523809523814,0.2,0.14285714285714288,0.2
oulad_DDD_2014B,OULAD,raw,0,1228,1.0,1.0,0.04761904761904762,0.5,0.04761904761904762,0.5
oulad_DDD_2014B,OULAD,raw,1,1228,0.9047619047619049,0.5,0.6190476190476191,0.5,0.23809523809523814,0.5
oulad_DDD_2014B,OULAD,raw,2,1228,1.0,1.0,0.33333333333333337,0.5,0.5238095238095238,0.5
oulad_DDD_2014B,OULAD,raw,3,1228,0.9047619047619049,1.0,0.6190476190476191,0.5,0.4285714285714286,0.2
oulad_DDD_2014B,OULAD,raw,4,1228,0.9047619047619049,1.0,0.4285714285714286,0.5,0.33333333333333337,0.5
oulad_DDD_2014J,OULAD,raw,0,1803,0.8095238095238096,1.0,0.6190476190476191,0.5,0.8095238095238096,0.5
oulad_DDD_2014J,OULAD,raw,1,1803,0.9047619047619049,1.0,0.4285714285714286,0.5,0.14285714285714288,0.2
oulad_DDD_2014J,OULAD,raw,2,1803,1.0,1.0,0.04761904761904762,0.2,0.23809523809523814,0.5
oulad_DDD_2014J,OULAD,raw,3,1803,1.0,1.0,-0.14285714285714288,0.2,-0.4285714285714286,0.2
oulad_DDD_2014J,OULAD,raw,4,1803,1.0,1.0,0.04761904761904762,0.2,0.4285714285714286,0.5
oulad_EEE_2013J,OULAD,raw,0,1052,0.9047619047619049,1.0,0.14285714285714288,0.2,-0.4285714285714286,0.0
oulad_EEE_2013J,OULAD,raw,1,1052,0.9047619047619049,1.0,0.5238095238095238,0.5,0.23809523809523814,0.5
oulad_EEE_2013J,OULAD,raw,2,1052,0.7142857142857143,1.0,0.14285714285714288,0.5,-0.04761904761904762,0.2
oulad_EEE_2013J,OULAD,raw,3,1052,0.8095238095238096,1.0,0.14285714285714288,0.5,-0.04761904761904762,0.2
oulad_EEE_2013J,OULAD,raw,4,1052,0.9047619047619049,1.0,-0.14285714285714288,0.2,-0.04761904761904762,0.5
oulad_EEE_2014B,OULAD,raw,0,694,0.8095238095238096,0.5,0.04761904761904762,0.2,0.23809523809523814,0.5
oulad_EEE_2014B,OULAD,raw,1,694,0.8095238095238096,0.5,0.6190476190476191,0.5,0.4285714285714286,0.5
oulad_EEE_2014B,OULAD,raw,2,694,0.7142857142857143,0.5,-0.23809523809523814,0.2,-0.14285714285714288,0.2
oulad_EEE_2014B,OULAD,raw,3,694,0.6190476190476191,1.0,0.5238095238095238,0.5,0.4285714285714286,0.5
oulad_EEE_2014B,OULAD,raw,4,694,0.8095238095238096,1.0,-0.14285714285714288,0.2,-0.33333333333333337,0.2
oulad_EEE_2014J,OULAD,raw,0,1188,0.8095238095238096,1.0,0.7142857142857143,1.0,0.7142857142857143,0.5
oulad_EEE_2014J,OULAD,raw,1,1188,0.9047619047619049,0.5,0.14285714285714288,0.5,0.14285714285714288,0.5
oulad_EEE_2014J,OULAD,raw,2,1188,0.9047619047619049,0.5,0.5238095238095238,0.5,0.6190476190476191,0.5
oulad_EEE_2014J,OULAD,raw,3,1188,0.8095238095238096,0.5,0.8095238095238096,0.5,0.7142857142857143,1.0
oulad_EEE_2014J,OULAD,raw,4,1188,0.7142857142857143,0.5,0.4285714285714286,0.5,0.5238095238095238,0.5
oulad_FFF_2013B,OULAD,raw,0,1614,1.0,1.0,0.23809523809523814,0.5,0.23809523809523814,0.5
oulad_FFF_2013B,OULAD,raw,1,1614,1.0,1.0,0.4285714285714286,0.5,0.23809523809523814,0.2
oulad_FFF_2013B,OULAD,raw,2,1614,0.9047619047619049,1.0,0.23809523809523814,0.5,0.23809523809523814,0.5
oulad_FFF_2013B,OULAD,raw,3,1614,0.9047619047619049,1.0,0.14285714285714288,0.5,0.14285714285714288,0.5
oulad_FFF_2013B,OULAD,raw,4,1614,0.9047619047619049,1.0,0.9047619047619049,1.0,0.8095238095238096,0.5
oulad_FFF_2013J,OULAD,raw,0,2283,0.8095238095238096,0.5,0.6190476190476191,0.5,0.7142857142857143,0.5
oulad_FFF_2013J,OULAD,raw,1,2283,1.0,1.0,0.7142857142857143,1.0,0.8095238095238096,1.0
oulad_FFF_2013J,OULAD,raw,2,2283,0.8095238095238096,1.0,0.6190476190476191,0.5,0.6190476190476191,0.5
oulad_FFF_2013J,OULAD,raw,3,2283,0.8095238095238096,0.5,0.23809523809523814,0.5,0.4285714285714286,0.5
oulad_FFF_2013J,OULAD,raw,4,2283,1.0,1.0,0.5238095238095238,1.0,0.33333333333333337,0.5
oulad_FFF_2014B,OULAD,raw,0,1500,1.0,1.0,0.23809523809523814,0.5,-0.04761904761904762,0.2
