metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.7916519298245616,0.776661606158709,0.8045256760506907,0.8251250526315789,11875
tau_strict,occlusion,occlusion,self,0.7038516290726817,0.6689230630876997,0.7435942156048351,0.7084732631578946,11875
tau_strict,lime,lime,self,0.5777796491228071,0.5440261088252178,0.6096915485073797,0.6600429473684211,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.7810702756892232,0.7633873954355642,0.7969557390937237,0.8151242105263158,11875
tau_strict,shap,occlusion,cross,0.34543398496240607,0.3028974285494714,0.392573167487217,0.5031848421052632,11875
tau_strict,shap,lime,cross,0.4011572932330828,0.3670420367788901,0.4341477989953061,0.5118905263157895,11875
tau_strict,shap,kernelshap_prob,cross,0.7910472180451129,0.7691475520123604,0.8134517585222282,0.8113583157894738,11875
tau_strict,occlusion,lime,cross,0.12713944862155388,0.08693232920069043,0.17764882661709372,0.37475031578947365,11875
tau_strict,occlusion,kernelshap_prob,cross,0.36099769423558903,0.32179322915219416,0.40155886262251295,0.5043082105263158,11875
tau_strict,lime,kernelshap_prob,cross,0.3947813533834587,0.35965619638232454,0.4275544099105813,0.5177768421052632,11875
tau_b,shap,shap,self,0.7916244788141064,0.7766609213252024,0.8045183679004705,,11875
tau_b,occlusion,occlusion,self,0.6792816008176465,0.6467889364691204,0.7149584940631931,,11837
tau_b,lime,lime,self,0.5781552383886335,0.5448084476066717,0.6096004772321788,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.781043318839948,0.76338586687327,0.7969557390937237,,11875
tau_b,shap,occlusion,cross,0.35684325618314733,0.3155896937113346,0.4028931116979709,,11837
tau_b,shap,lime,cross,0.40185058317601524,0.3672055429638194,0.4350823583289998,,11875
tau_b,shap,kernelshap_prob,cross,0.7910052731829575,0.769038930171735,0.8133897386159327,,11875
tau_b,occlusion,lime,cross,0.14077002795718047,0.10204945524624918,0.18603611116139707,,11837
tau_b,occlusion,kernelshap_prob,cross,0.37148790559747497,0.33560456833353663,0.41030761869948923,,11837
tau_b,lime,kernelshap_prob,cross,0.39548518780053665,0.3601705175349347,0.42881441313797664,,11875
