group,students,mean_lime_seed_tau,median_lime_seed_tau,p10_lime_seed_tau,mean_self_tau_lime
all,11875,0.8480441102756894,0.9047619047619049,0.6190476190476191,0.5777796491228071
OULAD,6829,0.8744430265882895,0.9047619047619049,0.7142857142857143,0.6129392158093285
KU Leuven,1314,0.8220627672682467,0.9047619047619049,0.6190476190476191,0.5038341668478655
UKZN,2421,0.7914675163745796,0.8095238095238096,0.5238095238095238,0.5255246749670542
Zambia,40,0.8238095238095239,0.8095238095238096,0.6190476190476191,0.5066666666666666
Oviedo,1271,0.8415945449777077,0.9047619047619049,0.6190476190476191,0.5670900303473081
