metric,students,mean,sd,p10,median
self_tau_shap,11875,0.8246512280701757,0.14063604831982715,0.6190476190476192,0.8666666666666666
self_tau_occlusion,11875,0.7923528822055138,0.1954391436323312,0.5047619047619047,0.8476190476190478
self_jaccard_shap,11875,0.8507326315789474,0.16481246484639364,0.6,0.8
cross_tau,11875,0.5114393984962408,0.3068625909407885,0.06666666666666668,0.5428571428571429
cross_jaccard_top3,11875,0.6558618947368421,0.2436685977034555,0.32,0.6
self_taub_shap,11875,0.8249367481383338,0.14066393349382894,0.6348745528835402,0.8666666666666666
self_jaccard_occlusion,11875,0.8066955789473685,0.1856863260968191,0.54,0.8
self_taub_occlusion,11837,0.7867360992675436,0.1958407405212932,0.49522240637897075,0.8476190476190478
self_tau_lime,11875,0.6613774436090227,0.19395123941079,0.39047619047619053,0.6761904761904762
self_jaccard_lime,11875,0.7180193684210527,0.1837963166989727,0.49000000000000005,0.7
self_taub_lime,11875,0.6619218533159448,0.19347383777519864,0.39047619047619053,0.6761904761904762
self_tau_kernelshap_prob,11875,0.8329070676691732,0.13913947329371956,0.6380952380952382,0.8666666666666668
self_jaccard_kernelshap_prob,11875,0.8594804210526316,0.16295049220663183,0.62,1.0
self_taub_kernelshap_prob,11875,0.8331834177560069,0.13908088727451368,0.6380952380952382,0.8666666666666668
cross_tau_shap__occlusion,11875,0.5114393984962408,0.3068625909407885,0.06666666666666668,0.5428571428571429
cross_jaccard_top3_shap__occlusion,11875,0.6558618947368421,0.2436685977034555,0.32,0.6
cross_taub_shap__occlusion,11837,0.5242270629062171,0.3037095099186104,0.08618466812563734,0.5660220423101492
cross_tau_shap__lime,11875,0.6436435087719298,0.20161814349642057,0.37142857142857144,0.6761904761904762
cross_jaccard_top3_shap__lime,11875,0.6960791578947368,0.20074172835196252,0.44000000000000006,0.7
cross_taub_shap__lime,11875,0.6442593905956474,0.20074826841932836,0.37142857142857144,0.6761904761904762
cross_tau_shap__kernelshap_prob,11875,0.8648332832080202,0.15118305909125118,0.6571428571428573,0.9238095238095239
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8757978947368421,0.15998260678667678,0.6,0.9
cross_taub_shap__kernelshap_prob,11875,0.8648348916139815,0.15118605598802032,0.6571428571428573,0.9238095238095239
cross_tau_occlusion__lime,11875,0.3534315789473685,0.3081476388695392,-0.06666666666666667,0.3523809523809524
cross_jaccard_top3_occlusion__lime,11875,0.5456134736842105,0.22462061774723083,0.26,0.5
cross_taub_occlusion__lime,11837,0.36334781795376925,0.3042964828137185,-0.041009543533965104,0.3639933686931711
cross_tau_occlusion__kernelshap_prob,11875,0.5283360401002506,0.30106647769874706,0.10476190476190476,0.5619047619047619
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.6678501052631579,0.24614621262816166,0.33999999999999997,0.6
cross_taub_occlusion__kernelshap_prob,11837,0.5420974785810421,0.2999418669504176,0.11905247401332555,0.580952380952381
cross_tau_lime__kernelshap_prob,11875,0.6364094235588973,0.1976480515048119,0.37142857142857144,0.6571428571428573
cross_jaccard_top3_lime__kernelshap_prob,11875,0.6928724210526316,0.20123886174810637,0.44000000000000006,0.7
cross_taub_lime__kernelshap_prob,11875,0.637011965557385,0.19677139716114936,0.37142857142857144,0.6571428571428573
lime_seed_tau,11875,0.8748070175438597,0.14077189285510788,0.7142857142857143,0.9047619047619049
