group,students,mean_lime_seed_tau,median_lime_seed_tau,p10_lime_seed_tau,mean_self_tau_lime
all,11875,0.8748070175438597,0.9047619047619049,0.7142857142857143,0.6613774436090227
OULAD,6829,0.8602319240772895,0.9047619047619049,0.6190476190476191,0.6921057953127071
KU Leuven,1314,0.9319417264622745,0.9047619047619049,0.8095238095238096,0.5706168007537872
UKZN,2421,0.871481678173128,0.9047619047619049,0.7142857142857143,0.6318955173973763
Zambia,40,0.8571428571428573,0.9047619047619049,0.7142857142857143,0.46809523809523823
Oviedo,1271,0.9009403918923982,0.9047619047619049,0.7142857142857143,0.652347233149751
