group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.34076647152016637,0.13873384985713233,0.4474294126318703,1000,0.2068227387866268,0.10588508585037566,0.3024685561938862,1000
OULAD,6829,19,0.49058972101401327,0.39673046057170147,0.5797484750968088,1000,0.40760389604422925,0.30081387073402593,0.5038218422963247,1000
Oviedo,1271,20,0.25160090541380176,0.06879554830443345,0.4474866588488092,1000,0.2789078847534559,0.14982852614958453,0.3883594422374722,1000
UKZN,2421,16,0.350199374358257,-0.0371608740751539,0.5988666927156876,1000,0.33133181607260964,0.23478433397885629,0.4226545405091485,1000
Zambia,40,2,0.18034482113804515,-0.29699077735421087,0.18034482113804515,1000,-0.22306863889363385,-0.29699077735421087,-0.14914650043305683,1000
ALL,11875,63,0.39208641789785964,0.28346943055788154,0.48568639106487604,1000,0.30823396717466217,0.2478780344221855,0.3595354269666592,1000
