regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.7351445966514459,0.6377467709846227,1.0,1.0,1.0,1000,0.6377467709846227,0.5416458798297685,0.7375872322212917,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.6174579001317909,0.47276350144026563,1.0,1.0,1.0,1000,0.47276350144026563,0.3984266393372853,0.5405135617803856,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1233,1233,0.6598540145985402,0.5395511339460733,1.0,1.0,1.0,1000,0.5395511339460733,0.48805873145357126,0.5885571070568869,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.7226022304832714,0.6031738015473774,1.0,1.0,1.0,1000,0.6031738015473774,0.560813994652333,0.6391302180067097,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.49850000000000005,0.33060533774536777,1.0,1.0,1.0,1000,0.33060533774536777,0.2855202395910593,0.3857093466006336,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11837,11837,0.656041226662161,0.5242270629062172,1.0,1.0,1.0,1000,0.5242270629062172,0.4794616930651559,0.5647993792344649,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,707,0.8642715700141442,0.6377467709846227,0.5380517503805176,0.4039509536784741,0.6481154460584948,1000,0.7755648209247262,0.7126918093441893,0.8381770736261321,1000,0.1378180499401035,0.07807633083599219,0.19205160704203042,1000,0.9654777324385578,0.8046423902256733,1.1163099824813707,1000
global,0.8,OULAD,6829,4805,0.6685993756503642,0.47276350144026563,0.7036169278078782,0.6357760729232943,0.7572905488380881,1000,0.5580209049561307,0.4932723045663065,0.6228941708251748,1000,0.08525740351586503,0.05664639601402073,0.12462722784176734,1000,0.6382352484667796,0.5109067944163507,0.7754177001224855,1000
global,0.8,Oviedo,1233,684,0.7711111111111112,0.5395511339460733,0.5547445255474452,0.4837007572061964,0.6165030541012216,1000,0.6918137442822453,0.6296658307054614,0.7459985461136519,1000,0.15226261033617194,0.1110379540455239,0.19735649334904873,1000,0.823889766705151,0.7241567466774536,0.9285654166050819,1000
global,0.8,UKZN,2421,1447,0.7834968901174845,0.6031738015473774,0.5976869062370921,0.49584709806564414,0.6799544419134397,1000,0.6844121898719157,0.6328169672357038,0.731434510225896,1000,0.08123838832453822,0.06836920563553679,0.09826367694989539,1000,0.6412961624753766,0.5347852803364589,0.7406903141074285,1000
global,0.8,Zambia,40,10,0.604,0.33060533774536777,0.25,0.2222222222222222,0.2727272727272727,1000,0.5716637626342472,0.4739271194123617,0.636821524782171,1000,0.24105842488887946,0.0882177728117281,0.3513012851911117,1000,0.6891643274319859,0.28732872827618405,0.8923389124357821,1000
global,0.8,ALL,11837,7653,0.7174781131582387,0.5242270629062172,0.6465320604882994,0.6002374370628166,0.686814882943382,1000,0.6139914352761073,0.5708104728879213,0.6563739253884596,1000,0.0897643723698901,0.06917992766576424,0.11559736389407742,1000,0.6196424219595518,0.5055415661045634,0.7445502771979435,1000
cohort_calibrated,0.6465320604882994,KU Leuven,1314,852,0.8194131455399061,0.6377467709846227,0.6484018264840182,0.6475122634898388,0.6495327102803738,1000,0.7314101084079193,0.6625478728865066,0.8040044602440878,1000,0.09366333742329658,0.06359652871763535,0.12626392008639134,1000,0.8049819326513086,0.7194806003237767,0.8647234109921419,1000
cohort_calibrated,0.6465320604882994,OULAD,6829,4422,0.6725418362731795,0.47276350144026563,0.6475325816371358,0.6473526473526473,0.6477583648524716,1000,0.5627226830237774,0.49155894829235486,0.6279420292316914,1000,0.08995918158351174,0.07981273478239209,0.10015125314869494,1000,0.5647566751984657,0.49572863158861263,0.6250393123317456,1000
cohort_calibrated,0.6465320604882994,Oviedo,1233,808,0.7462623762376238,0.5395511339460733,0.6553122465531225,0.6525250381314662,0.6592697108703701,1000,0.6548426283594168,0.6001886636325736,0.7037826797357646,1000,0.11529149441334341,0.09699505285404465,0.13308446347582242,1000,0.74329723879688,0.6635373729116822,0.8093046778957423,1000
cohort_calibrated,0.6465320604882994,UKZN,2421,1573,0.7955626191989829,0.6031738015473774,0.6497315159025197,0.6484149155524345,0.6523636937195297,1000,0.6882340217533275,0.643328750410568,0.7250470530440386,1000,0.08506022020595005,0.07990421071983628,0.0914981987318654,1000,0.7454031774562376,0.6925661062453574,0.7846986465894348,1000
cohort_calibrated,0.6465320604882994,Zambia,40,27,0.5422222222222223,0.33060533774536777,0.675,0.6666666666666666,0.6818181818181818,1000,0.4312041355212355,0.41261798834787516,0.454436819487936,1000,0.10059879777586772,0.06872747288730241,0.12709774875681584,1000,0.6735602268641007,0.5332374514759968,0.7623012368122949,1000
cohort_calibrated,0.6465320604882994,ALL,11837,7682,0.7213173652694612,0.5242270629062172,0.648982005575737,0.6485984165662024,0.6494443663790622,1000,0.6163588373192082,0.5745526101943949,0.6553750890837853,1000,0.09213177441299092,0.08501956720503452,0.09977301736197584,1000,0.6359845708211757,0.5885418264881459,0.6785242752009985,1000
oracle,0.6465320604882994,KU Leuven,1314,852,0.8445539906103285,0.6377467709846227,0.6484018264840182,0.6475122634898388,0.6495327102803738,1000,0.7541013543909915,0.6900995042899151,0.818712619694834,1000,0.11635458340636873,0.08111261760015417,0.1535442867025179,1000,1.0,1.0,1.0,1000
oracle,0.6465320604882994,OULAD,6829,4422,0.7131117141564903,0.47276350144026563,0.6475325816371358,0.6473526473526473,0.6477583648524716,1000,0.6320518915277284,0.5725500203480799,0.6892596794579737,1000,0.15928839008746282,0.1453806287166758,0.17366686410290827,1000,1.0,1.0,1.0,1000
oracle,0.6465320604882994,Oviedo,1233,808,0.7674257425742574,0.5395511339460733,0.6553122465531225,0.6525250381314662,0.6592697108703701,1000,0.6946593307691332,0.6340033085329375,0.7471768368051662,1000,0.15510819682305987,0.12708815412674868,0.18481756056176543,1000,1.0,1.0,1.0,1000
oracle,0.6465320604882994,UKZN,2421,1573,0.8104513668150031,0.6031738015473774,0.6497315159025197,0.6484149155524345,0.6523636937195297,1000,0.717286838328662,0.6775312595635294,0.7508087219083451,1000,0.1141130367812846,0.1072287610307707,0.12414714686466351,1000,1.0,1.0,1.0,1000
oracle,0.6465320604882994,Zambia,40,27,0.5577777777777778,0.33060533774536777,0.675,0.6666666666666666,0.6818181818181818,1000,0.4799591650107131,0.45224927349411165,0.5145965294064649,1000,0.14935382726534535,0.12888718280583134,0.16672903390305233,1000,1.0,1.0,1.0,1000
