metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.796526516290727,0.7805381953422149,0.8108971095643819,0.8334997894736843,11875
tau_strict,occlusion,occlusion,self,0.706238395989975,0.6722107483832118,0.7417712816406098,0.713728,11875
tau_strict,lime,lime,self,0.5711101754385965,0.53087483606235,0.606166895917241,0.6494837894736842,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.7835725313283209,0.7658944313402999,0.7994979823900035,0.8200446315789475,11875
tau_strict,shap,occlusion,cross,0.347634686716792,0.3003302568955195,0.40353133936942864,0.516602947368421,11875
tau_strict,shap,lime,cross,0.40386005012531334,0.3658175968500647,0.43888873045988114,0.5240690526315789,11875
tau_strict,shap,kernelshap_prob,cross,0.7934275689223058,0.7679963594490352,0.817790314354758,0.8086349473684211,11875
tau_strict,occlusion,lime,cross,0.12264982456140351,0.08150483669254817,0.1721588754562832,0.3809936842105263,11875
tau_strict,occlusion,kernelshap_prob,cross,0.35122927318295744,0.3052132516813814,0.4028435304903157,0.5010442105263158,11875
tau_strict,lime,kernelshap_prob,cross,0.40682265664160405,0.37229886786453037,0.43966330960611266,0.5313768421052631,11875
tau_b,shap,shap,self,0.7964737052090245,0.7804061977486543,0.8108421428380647,,11875
tau_b,occlusion,occlusion,self,0.6840337024769795,0.652757393046846,0.7165112070011938,,11815
tau_b,lime,lime,self,0.5708415016118035,0.5306347310366046,0.6058743893490784,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.783518848801309,0.765828777271613,0.7994330119250433,,11875
tau_b,shap,occlusion,cross,0.3580928305991182,0.31294533036489064,0.41038648971200614,,11837
tau_b,shap,lime,cross,0.40454422124263334,0.36672772444232354,0.4392786036501552,,11875
tau_b,shap,kernelshap_prob,cross,0.7934234786967419,0.7679917128192437,0.8177868434142233,,11875
tau_b,occlusion,lime,cross,0.1395930277106263,0.10088250780074581,0.18414207106360783,,11837
tau_b,occlusion,kernelshap_prob,cross,0.3606965800882967,0.31814903538948186,0.4079228042483077,,11837
tau_b,lime,kernelshap_prob,cross,0.4075101180064732,0.37282954027361065,0.4403714426341251,,11875
