regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.5211263318112633,0.43239834746684064,1.0,1.0,1.0,1000,0.43239834746684064,0.3907395728985321,0.4615293420272673,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.587930882998975,0.5029489083669784,1.0,1.0,1.0,1000,0.5029489083669784,0.46547397249483635,0.5400626600421635,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.5620141620771046,0.4223138198642471,1.0,1.0,1.0,1000,0.4223138198642471,0.3358062510274853,0.5042498137778426,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.47463031805039235,0.3340886292559155,1.0,1.0,1.0,1000,0.3340886292559155,0.2595210094138666,0.40083293314261,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.602,0.5519047619047619,1.0,1.0,1.0,1000,0.5519047619047619,0.49523809523809526,0.6211640211640213,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.5547132631578947,0.4522505390115153,1.0,1.0,1.0,1000,0.4522505390115153,0.4200247095952609,0.4815560421980887,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,810,0.532716049382716,0.43239834746684064,0.6164383561643836,0.4996243425995492,0.7009873060648801,1000,0.4479247501469724,0.39509495872877914,0.4898031746031747,1000,0.015526402680131779,-0.0014661107767657833,0.03138463162478311,1000,0.15393310136537353,-0.012589253891756986,0.3080107228854117,1000
global,0.8,OULAD,6829,4625,0.6130248648648648,0.5029489083669784,0.6772587494508713,0.6162785416083422,0.7275880390274986,1000,0.5418110682110682,0.5022866319869963,0.5777867161471898,1000,0.038862159844089805,0.02942337594588106,0.052149073243868714,1000,0.38475306794562697,0.3019936710686612,0.47278235712462324,1000
global,0.8,Oviedo,1271,696,0.6233908045977011,0.4223138198642471,0.5476003147128246,0.44125382807736313,0.6507682780097671,1000,0.514407373152478,0.43563331467683525,0.5770883980670013,1000,0.09209355328823088,0.05794711420921969,0.12308858840313214,1000,0.7262962433332943,0.4967604983670401,0.9196969416804256,1000
global,0.8,UKZN,2421,848,0.519504716981132,0.3340886292559155,0.3502684840974804,0.29428300284384,0.41773061392892874,1000,0.4050763701707098,0.3522153938414371,0.4554163848733967,1000,0.07098774091479432,0.022924853346433145,0.11129414440909016,1000,0.39095181274179885,0.14918103887490822,0.5479939253280525,1000
global,0.8,Zambia,40,28,0.5878571428571429,0.5519047619047619,0.7,0.6818181818181818,0.7222222222222222,1000,0.5482993197278911,0.47555555555555556,0.6322344322344323,1000,-0.0036054421768707545,-0.01968253968253969,0.011070411070411068,1000,-0.060173041537799114,-0.25619834710743783,0.2320819112627987,1000
global,0.8,ALL,11875,7007,0.5933523619237905,0.4522505390115153,0.5900631578947368,0.5410874747587288,0.6354304075536552,1000,0.5117139878216791,0.4826234089732031,0.5389796572670902,1000,0.0594634488101638,0.04387475561142593,0.07694038395002682,1000,0.49811536243104315,0.38109206073328145,0.6183736998912789,1000
cohort_calibrated,0.5900631578947368,KU Leuven,1314,779,0.5390757381258023,0.43239834746684064,0.5928462709284628,0.5915186828058041,0.5943661971830986,1000,0.45676386087169146,0.4046080015275415,0.4933755832987615,1000,0.024365513404850825,0.013025267197921055,0.034337635656382766,1000,0.22878916225997348,0.12154851362804857,0.33535532131348,1000
cohort_calibrated,0.5900631578947368,OULAD,6829,4045,0.6127861557478368,0.5029489083669784,0.5923268414116268,0.5920662409427951,0.5925311203319502,1000,0.5437895108599682,0.5024778620584718,0.5841651627356425,1000,0.04084060249298982,0.031724680328862095,0.04938949868586578,1000,0.33168916622341427,0.25372385165239913,0.40242594365752865,1000
