cohort_id,estimator,self_agreement_tau,dead_features,n_features
ukzn_ISTN101_2021,permutation,0.3650793650793651,2.6666666666666665,7
ukzn_ISTN101_2021,shap,0.6190476190476191,0.0,7
ukzn_ISTN101_2021,drop_column,0.23809523809523814,5.0,7
ukzn_ISTN102_2018,permutation,0.3650793650793651,2.6666666666666665,7
ukzn_ISTN102_2018,shap,0.8730158730158731,0.0,7
ukzn_ISTN102_2018,drop_column,0.3015873015873016,2.0,7
ukzn_ISTN103_2019,permutation,0.4920634920634921,2.3333333333333335,7
ukzn_ISTN103_2019,shap,0.8730158730158731,0.3333333333333333,7
ukzn_ISTN103_2019,drop_column,0.04761904761904762,4.0,7
ukzn_ISTN103_2020,permutation,0.49206349206349215,1.3333333333333333,7
ukzn_ISTN103_2020,shap,0.5555555555555556,0.0,7
ukzn_ISTN103_2020,drop_column,0.4920634920634921,2.3333333333333335,7
ukzn_ISTN211_2019,permutation,0.17460317460317465,4.0,7
ukzn_ISTN211_2019,shap,0.17460317460317462,0.6666666666666666,7
ukzn_ISTN211_2019,drop_column,0.17460317460317465,4.666666666666667,7
ukzn_ISTN211_2021,permutation,0.3650793650793651,1.6666666666666667,7
ukzn_ISTN211_2021,shap,0.3015873015873016,0.0,7
ukzn_ISTN211_2021,drop_column,-0.2698412698412698,4.666666666666667,7
ukzn_ISTN212_2018,permutation,0.3015873015873016,2.0,7
ukzn_ISTN212_2018,shap,0.746031746031746,0.0,7
ukzn_ISTN212_2018,drop_column,0.23809523809523814,3.3333333333333335,7
ukzn_ISTN212_2019,permutation,0.5555555555555556,3.3333333333333335,7
ukzn_ISTN212_2019,shap,0.6190476190476191,0.0,7
ukzn_ISTN212_2019,drop_column,0.3650793650793651,3.6666666666666665,7
ukzn_ISTN2IP_2018,permutation,0.4920634920634921,1.3333333333333333,7
ukzn_ISTN2IP_2018,shap,0.23809523809523814,0.0,7
ukzn_ISTN2IP_2018,drop_column,0.047619047619047616,4.0,7
ukzn_ISTN2IP_2019,permutation,-0.015873015873015876,2.6666666666666665,7
ukzn_ISTN2IP_2019,shap,0.4920634920634921,0.0,7
ukzn_ISTN2IP_2019,drop_column,0.04761904761904762,5.0,7
ukzn_ISTN3ND_2018,permutation,0.11111111111111112,4.333333333333333,7
ukzn_ISTN3ND_2018,shap,0.5555555555555557,0.0,7
ukzn_ISTN3ND_2018,drop_column,-0.015873015873015883,2.3333333333333335,7
ukzn_ISTN3ND_2019,permutation,0.23809523809523814,2.6666666666666665,7
ukzn_ISTN3ND_2019,shap,0.6190476190476191,0.0,7
ukzn_ISTN3ND_2019,drop_column,0.17460317460317462,4.333333333333333,7
ukzn_ISTN3SA_2018,permutation,-0.01587301587301589,1.6666666666666667,7
ukzn_ISTN3SA_2018,shap,0.3650793650793651,0.0,7
ukzn_ISTN3SA_2018,drop_column,0.3015873015873016,2.0,7
ukzn_ISTN3SA_2019,permutation,0.2380952380952381,0.6666666666666666,7
ukzn_ISTN3SA_2019,shap,0.4285714285714286,0.0,7
ukzn_ISTN3SA_2019,drop_column,-0.01587301587301587,2.0,7
zambia_ICT1110_2020,permutation,-0.07936507936507936,2.6666666666666665,7
zambia_ICT1110_2020,shap,0.04761904761904762,0.0,7
zambia_ICT1110_2020,drop_column,-0.07936507936507935,3.6666666666666665,7
zambia_ICT1110_2021,permutation,0.4285714285714286,3.6666666666666665,7
zambia_ICT1110_2021,shap,0.23809523809523814,0.0,7
zambia_ICT1110_2021,drop_column,0.23809523809523814,3.3333333333333335,7
oviedo_C1112_1415,permutation,0.11111111111111112,2.0,7
oviedo_C1112_1415,shap,0.6825396825396827,0.0,7
oviedo_C1112_1415,drop_column,0.4920634920634921,3.3333333333333335,7
oviedo_C1127_1415,permutation,0.2380952380952381,2.0,7
oviedo_C1127_1415,shap,0.4920634920634921,0.0,7
oviedo_C1127_1415,drop_column,0.047619047619047616,2.6666666666666665,7
oviedo_C1200_1415,permutation,0.11111111111111112,2.6666666666666665,7
oviedo_C1200_1415,shap,0.746031746031746,0.0,7
oviedo_C1200_1415,drop_column,-0.14285714285714288,4.333333333333333,7
oviedo_C1303_1415,permutation,-0.015873015873015872,5.0,7
oviedo_C1303_1415,shap,0.6825396825396827,0.0,7
oviedo_C1303_1415,drop_column,-0.20634920634920637,2.3333333333333335,7
oviedo_C174_1415,permutation,0.3650793650793651,4.0,7
oviedo_C174_1415,shap,0.6825396825396824,1.3333333333333333,7
oviedo_C174_1415,drop_column,0.11111111111111112,4.333333333333333,7
oviedo_C190_1415,permutation,0.17460317460317462,3.6666666666666665,7
oviedo_C190_1415,shap,0.4920634920634921,0.0,7
oviedo_C190_1415,drop_column,0.11111111111111112,2.3333333333333335,7
oviedo_C1978_1415,permutation,0.23809523809523814,3.3333333333333335,7
oviedo_C1978_1415,shap,0.3650793650793651,0.0,7
oviedo_C1978_1415,drop_column,0.23809523809523814,3.6666666666666665,7
oviedo_C2011_1415,permutation,0.17460317460317462,2.3333333333333335,7
oviedo_C2011_1415,shap,0.30158730158730157,0.0,7
oviedo_C2011_1415,drop_column,0.3650793650793651,3.6666666666666665,7
oviedo_C2024_1415,permutation,0.42857142857142855,5.0,7
oviedo_C2024_1415,shap,0.5555555555555556,0.0,7
oviedo_C2024_1415,drop_column,0.17460317460317465,3.0,7
oviedo_C2150_1415,permutation,0.6190476190476192,1.3333333333333333,7
oviedo_C2150_1415,shap,0.8095238095238096,0.0,7
oviedo_C2150_1415,drop_column,0.04761904761904762,2.6666666666666665,7
oviedo_C2271_1415,permutation,0.5555555555555557,3.6666666666666665,7
oviedo_C2271_1415,shap,0.8730158730158731,0.0,7
oviedo_C2271_1415,drop_column,-0.14285714285714288,3.3333333333333335,7
oviedo_C2335_1415,permutation,0.3650793650793651,2.0,7
oviedo_C2335_1415,shap,0.5555555555555556,0.0,7
oviedo_C2335_1415,drop_column,0.4920634920634921,3.0,7
oviedo_C2406_1415,permutation,0.3650793650793651,2.0,7
oviedo_C2406_1415,shap,0.6825396825396827,0.0,7
oviedo_C2406_1415,drop_column,0.1111111111111111,4.0,7
oviedo_C2468_1415,permutation,0.17460317460317462,4.666666666666667,7
oviedo_C2468_1415,shap,0.746031746031746,0.6666666666666666,7
oviedo_C2468_1415,drop_column,0.3015873015873016,4.333333333333333,7
oviedo_C2607_1415,permutation,0.4285714285714286,3.0,7
oviedo_C2607_1415,shap,0.3650793650793651,0.0,7
oviedo_C2607_1415,drop_column,0.23809523809523814,2.6666666666666665,7
oviedo_C3022_1415,permutation,-0.07936507936507937,2.6666666666666665,7
oviedo_C3022_1415,shap,0.746031746031746,0.0,7
oviedo_C3022_1415,drop_column,0.17460317460317462,3.3333333333333335,7
oviedo_C3029_1415,permutation,-0.07936507936507936,3.0,7
oviedo_C3029_1415,shap,0.4920634920634921,0.0,7
oviedo_C3029_1415,drop_column,-0.07936507936507937,3.6666666666666665,7
oviedo_C4189_1415,permutation,-0.14285714285714288,3.0,7
oviedo_C4189_1415,shap,0.3650793650793651,1.0,7
oviedo_C4189_1415,drop_column,-0.01587301587301587,5.666666666666667,7
oviedo_C4213_1415,permutation,-0.14285714285714288,2.3333333333333335,7
oviedo_C4213_1415,shap,0.4285714285714286,0.0,7
oviedo_C4213_1415,drop_column,0.11111111111111112,3.6666666666666665,7
oviedo_C836_1415,permutation,0.3015873015873016,2.6666666666666665,7
oviedo_C836_1415,shap,0.23809523809523814,0.0,7
oviedo_C836_1415,drop_column,0.4285714285714286,2.6666666666666665,7
