institution,students,gate_pass_rate,mean_self_tau_shap,mean_cross_tau
KU Leuven,1314,0.03576864535768645,0.60734942378778,0.5771979415815033
OULAD,6829,0.008053887831307659,0.3902697878096912,0.2561415252878132
Oviedo,1271,0.0023603461841070024,0.4066164624779889,0.4910344310816381
UKZN,2421,0.006195786864931847,0.4293503274915915,0.45957003206073843
Zambia,40,0.0,0.27571428571428575,0.4800000000000001
