covariate,spearman_vs_self_tau_shap,spearman_vs_cross_tau
margin,0.06270205166405458,0.17350631959058618
p_risk,-0.06790026056151338,-0.12738936514301133
active_weeks,-0.26603678905537437,-0.5250980681713352
weeks_since_active,0.001612349728380115,0.17831816301129394
cum_clicks,-0.15876053298776147,-0.41339168871750565
