config,fraction,model,cohorts,students,institutions,auc_mean,taub_self_shap,taub_self_shap_ci_low,taub_self_shap_ci_high,taub_self_occlusion,taub_self_occlusion_ci_low,taub_self_occlusion_ci_high,taub_self_lime,taub_self_lime_ci_low,taub_self_lime_ci_high,taub_shap__occlusion,taub_shap__occlusion_ci_low,taub_shap__occlusion_ci_high,taub_shap__lime,taub_shap__lime_ci_low,taub_shap__lime_ci_high,taub_occlusion__lime,taub_occlusion__lime_ci_low,taub_occlusion__lime_ci_high,taub_shap__kernelshap_prob,taub_shap__kernelshap_prob_ci_low,taub_shap__kernelshap_prob_ci_high,taub_occlusion__kernelshap_prob,taub_occlusion__kernelshap_prob_ci_low,taub_occlusion__kernelshap_prob_ci_high,strict_shap__occlusion,strict_shap__occlusion_ci_low,strict_shap__occlusion_ci_high,occlusion_tie_share,lime_seed_tau,gate_occlusion_c_star,gate_occlusion_global_lift,gate_occlusion_global_lift_ci_low,gate_occlusion_global_lift_ci_high,gate_occlusion_cal_minus_global,gate_occlusion_cal_minus_global_ci_low,gate_occlusion_cal_minus_global_ci_high,gate_occlusion_spearman_within,gate_occlusion_spearman_within_ci_low,gate_occlusion_spearman_within_ci_high,gate_occlusion_spearman_within_ci_low_ku_leuven,gate_occlusion_spearman_within_ci_low_oulad,gate_occlusion_spearman_within_ci_low_oviedo,gate_occlusion_spearman_within_ci_low_ukzn,gate_occlusion_spread_no_gate,gate_occlusion_spread_no_gate_no_zambia,gate_lime_c_star,gate_lime_global_lift,gate_lime_global_lift_ci_low,gate_lime_global_lift_ci_high,gate_lime_cal_minus_global,gate_lime_cal_minus_global_ci_low,gate_lime_cal_minus_global_ci_high,gate_lime_spearman_within,gate_lime_spearman_within_ci_low,gate_lime_spearman_within_ci_high,gate_lime_spearman_within_ci_low_ku_leuven,gate_lime_spearman_within_ci_low_oulad,gate_lime_spearman_within_ci_low_oviedo,gate_lime_spearman_within_ci_low_ukzn,gate_lime_spread_no_gate,gate_lime_spread_no_gate_no_zambia
f25_gbm,0.25,gradient_boosting,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.666774627407989,0.7916244788141064,0.7766609213252024,0.8045183679004705,0.6792816008176465,0.6467889364691204,0.7149584940631931,0.5781552383886335,0.5448084476066717,0.6096004772321788,0.3568432561831473,0.3155896937113346,0.4028931116979709,0.4018505831760152,0.3672055429638194,0.4350823583289998,0.1407700279571804,0.1020494552462491,0.186036111161397,0.7910052731829575,0.769038930171735,0.8133897386159327,0.3714879055974749,0.3356045683335366,0.4103076186994892,0.345433984962406,0.3028974285494714,0.392573167487217,0.5813726315789474,0.8480441102756894,0.5356086846329307,0.0774438942123069,0.0591344672555514,0.0960760409155516,0.0009625667462801,-0.0117052546884312,0.0145653791573459,0.3434179035855401,0.2895777368366953,0.3926920269335775,0.206420747385942,0.3695307637759321,0.1845093620678825,0.1973320414216915,0.3364070293960884,0.3364070293960884,0.5338947368421053,0.058195620405137,0.04379962860716,0.0750534917781291,-0.0152268315982411,-0.029425054012974,-0.0051082327050085,0.2286919503599214,0.1764233293448111,0.277655172434431,0.1679666409933671,0.255596938226621,0.0267500432303688,0.1029074797851758,0.1129167692603624,0.1028222076834657
f25_lr,0.25,logistic_regression,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.7136579179552314,0.8249367481383338,0.8060063625429545,0.8418920567008815,0.7867360992675436,0.7582672701598991,0.8153289927743145,0.6619218533159448,0.635398368870706,0.6865890225242087,0.5242270629062171,0.4759225610089183,0.5749784145851328,0.6442593905956474,0.6090936773503767,0.6745021182652824,0.3633478179537692,0.3138197937274501,0.4090702826283355,0.8648348916139815,0.8456149385295348,0.882117019360689,0.5420974785810421,0.4995261262342211,0.5883789248202342,0.5114393984962408,0.4644071082702518,0.5633571981942088,0.3638736842105263,0.8748070175438597,0.6465320604882994,0.0897643723698901,0.0691799276657642,0.1155973638940774,0.0023674020431008,-0.0209154749061737,0.0196448082625853,0.6811716247674708,0.6543215650203847,0.7088381227730317,0.7347520613349886,0.5071847061836754,0.6922780780779206,0.6535187715191139,0.3071414332392549,0.1649832695443571,0.6444631578947368,0.0711389931390791,0.0600010405363552,0.0823723623037423,-0.015084861381834,-0.0276181527156443,-0.0044266688865812,0.4917859364748733,0.4395842088516388,0.540394449670166,0.3119046175801175,0.5319250417234099,0.2925148136781238,0.4240830439294032,0.175116485018374,0.1715734544490262
f25_rf,0.25,random_forest,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.682705631464619,0.7893652286449755,0.7756925391531072,0.8018525690925109,0.6834215162177231,0.6540732026166352,0.713697627067288,0.6682705083736542,0.6334101212359973,0.6970613708743134,0.3671589511090749,0.3299370650624789,0.4060431070929212,0.4314879654655305,0.3914889182708048,0.4645412147406872,0.114374015671058,0.0726126514932162,0.1612219968908568,1.0,1.0,1.0,0.3671589511090749,0.3299370650624789,0.4060431070929212,0.3592332832080201,0.3253288291480389,0.3967861401667849,0.4034357894736842,0.8966616541353385,0.5285122919658697,0.1063057313337734,0.0870741252984969,0.1253280593198662,0.0054775830927442,-0.0079735668304545,0.0169711920372683,0.4350793478506397,0.3658799383535406,0.4929333847753177,0.3482539702341028,0.4810675605010824,0.1546068297534021,0.3283161920218737,0.3303360822388736,0.3303360822388736,0.526821052631579,0.0877229019520386,0.07480317934578,0.1023978719245603,-0.0212826261631068,-0.0394788599712138,-0.0066330635948172,0.3366667220704918,0.2798532624377092,0.3853077534534967,0.3014231553987566,0.4203239141984775,0.0261469090723838,0.2614982217883694,0.2246119543460947,0.182441449008215
f33_gbm,0.33,gradient_boosting,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.6849291770670768,0.7964737052090245,0.7804061977486543,0.8108421428380647,0.6840337024769795,0.652757393046846,0.7165112070011938,0.5708415016118035,0.5306347310366046,0.6058743893490784,0.3580928305991182,0.3129453303648906,0.4103864897120061,0.4045442212426333,0.3667277244423235,0.4392786036501552,0.1395930277106263,0.1008825078007458,0.1841420710636078,0.7934234786967419,0.7679917128192437,0.8177868434142233,0.3606965800882967,0.3181490353894818,0.4079228042483077,0.347634686716792,0.3003302568955195,0.4035313393694286,0.5827368421052631,0.8626486215538848,0.5570668243642815,0.0638241271337461,0.0459492470139423,0.0825166228315006,0.0084278117153329,-0.0102473120953861,0.0297357568966804,0.4019409088950981,0.3606653512083219,0.4422673737846572,0.3085669213388227,0.3309949329854257,0.3327107810518358,0.3143603181098762,0.3451333377995017,0.3451333377995017,0.5552842105263158,0.0631248876793119,0.0481806056242643,0.0815184706878456,-0.0198718170029276,-0.0373924833155227,-0.0061673091829866,0.2610930845919672,0.2108181989034104,0.3072448826609042,0.0317277545368394,0.2690471085915147,0.154648828936641,0.1314982946627343,0.0635407948627702,0.0635407948627702
f33_lr,0.33,logistic_regression,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.7263742425240232,0.8161190862117305,0.7967609844320586,0.8342202501271215,0.7933945705485381,0.7677438271460991,0.8188251763206473,0.6585533605385843,0.6251472352516366,0.6874083577036977,0.5566616987895058,0.5128092835891115,0.5946958273537333,0.6413160558196395,0.610913005532893,0.6673998739126343,0.3915353757302718,0.3498740392791736,0.4323488215034359,0.8606196036394717,0.8412712965729666,0.8789202891614726,0.574109752910582,0.5353130561144842,0.6119891355327345,0.5447017543859649,0.5008459878043581,0.5823982162077638,0.3168168421052632,0.8712862155388472,0.6193292219312325,0.094929973710902,0.075341786143357,0.1148683161727933,0.0002189886869751,-0.0170123366170741,0.016681555234775,0.6690548271203886,0.6304102647471226,0.7062634735394767,0.7573823650723251,0.5246212078693071,0.5876350139024699,0.623802834794648,0.1683835769723191,0.1432377294089847,0.6173473684210526,0.0622012328180016,0.0528712362672526,0.0717918643087353,-0.0090799581068914,-0.0176112364526655,-0.0008679246181471,0.4717663038396631,0.4233005188832175,0.5194813281024158,0.3954587265843423,0.5024538189303485,0.3370243633520355,0.2835394954839265,0.1364778287020488,0.1364778287020488
f33_rf,0.33,random_forest,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.6912024985486449,0.8036619267490429,0.788872821154778,0.8155163158239614,0.6784325096632297,0.6536140478015527,0.7057485150169537,0.6629678241516151,0.621454973451572,0.6963615274907415,0.3720769267695604,0.3349808340923297,0.4123039177622111,0.461453749841711,0.4202771510628556,0.4964776582678671,0.1331417377179358,0.0942922115918102,0.1790461628004649,1.0,1.0,1.0,0.3720769267695604,0.3349808340923297,0.4123039177622111,0.3641255137844612,0.328252807367227,0.4036941569134101,0.3721936842105264,0.8936701754385965,0.5873954549294584,0.0885038953741571,0.071032004794082,0.1077894458931237,0.0037851244494475,-0.0095164832175202,0.0157100008543629,0.4204903604738074,0.3597270968257721,0.4749750395095878,0.3169723569859362,0.5024480163079154,0.175358788273482,0.2818564072042604,0.3172413729318494,0.3172413729318494,0.5855157894736842,0.0844517157924638,0.0690018505723827,0.1021748970182512,-0.0195197833049345,-0.0352824376815767,-0.005051992911436,0.3621165336777018,0.3148456171761883,0.4045626489563436,0.2016452421962206,0.4897849122566147,0.1224391033144631,0.255573261003969,0.2336920755483547,0.2336920755483547
f50_gbm,0.5,gradient_boosting,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.7308551315259849,0.8067154561548828,0.7895499776899141,0.8218598818170271,0.678324258572612,0.6498151760048212,0.7088376812630981,0.6082702756892231,0.5743178795135452,0.6410016967653093,0.3617654141855565,0.3151471065631381,0.4117115347127161,0.4522505390115153,0.4147635465114649,0.4863927882778192,0.1602354838092775,0.1244886159615975,0.1980724140849504,0.788745543859649,0.7684589133090198,0.8080698394837557,0.3497823442140883,0.3059471789258006,0.3984338997653694,0.3463113784461153,0.2981048057757373,0.3981514790301146,0.5636715789473684,0.8358937343358396,0.5900516030792657,0.0333435841057199,0.0157193460503243,0.0532614647344435,0.0240330239904674,0.0091457208709305,0.038656515939721,0.3421148972013493,0.2945849974384654,0.3859001946386903,0.1925243477589298,0.2467168520726983,0.2472984848808341,0.3111642039741927,0.3293874068184056,0.3293874068184056,0.5900631578947368,0.0594634488101638,0.0438747556114259,0.0769403839500268,-0.0212796304761128,-0.0375818771354001,-0.0069234870667023,0.2731405649485066,0.22062644592246,0.3291094076192033,0.0239850204590432,0.2539214216470108,0.2025505486618448,0.1000717238121623,0.2178161326488464,0.1688602791110628
f50_lr,0.5,logistic_regression,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.7696685094041745,0.8275447252073335,0.8000135128921884,0.8501694352570472,0.8043814606657392,0.7823295921562055,0.8268375158571093,0.6756675689223057,0.6392732659577359,0.7063564414305971,0.5483121178653683,0.5072320903289035,0.5838751536543225,0.65282506117741,0.6095738371120072,0.6901014344887779,0.3794259001498898,0.3326605687901627,0.4249043301749468,0.8660904319224343,0.8501262354648468,0.8810055274147714,0.5564842265290243,0.5208358621026619,0.5879286418559927,0.5418369924812031,0.501359271754323,0.5780955420787484,0.2549052631578947,0.857379448621554,0.6484210526315789,0.0653568300307925,0.0535553415188915,0.0774907460027699,0.017871508321031,0.005049759730572,0.029850450245198,0.6695825847754882,0.6310704276057695,0.7011795409494592,0.8062325169062753,0.4366208700904309,0.633344784606321,0.6849884827154287,0.1311192811242442,0.1311192811242442,0.6484210526315789,0.0645719017309125,0.0524778837234288,0.0819095364877631,-0.0224708825091227,-0.040692124449451,-0.0095035150740208,0.4312544411601549,0.3777692110477755,0.4809806468023285,0.1944426644848615,0.4582330186905285,0.329162588321117,0.2352934116163021,0.3022435421767842,0.3022435421767842
f50_rf,0.5,random_forest,63,11875,KU Leuven;OULAD;Oviedo;UKZN;Zambia,0.7439881887505793,0.8165445614035088,0.7964443828103448,0.8342141274616681,0.6723987082998493,0.6439698117374439,0.6996337912241224,0.6739384461152883,0.6223586507137708,0.7132969336203283,0.3786526134603815,0.3399445430781752,0.4165388472141942,0.5046977443609023,0.4559288738828735,0.548083721393489,0.1696267858071549,0.1413819483648974,0.1981148897207626,1.0,1.0,1.0,0.3786526134603815,0.3399445430781752,0.4165388472141942,0.3691412531328321,0.33437122370667,0.403763721520288,0.336218947368421,0.883957894736842,0.6215623418255442,0.0639681127486331,0.0481992777643076,0.0813808842639792,0.0246224065305315,0.0060782188809575,0.0415457479749964,0.4642751559068503,0.4318491582028322,0.4945274376203817,0.4383885052444564,0.4664466776814479,0.3472050550773652,0.3625019449742155,0.2776986371491614,0.2776986371491614,0.6209684210526316,0.0900405252349751,0.0716377799479271,0.1102793191683173,-0.03434857151543,-0.0543972686382477,-0.0153356808721367,0.4122830869143267,0.3727990650594483,0.4523530549144419,0.3464938207882803,0.416749583241337,0.3091329717648913,0.2567260655627332,0.258223907727637,0.258223907727637
