institution,students,gate_pass_rate,mean_self_tau_shap,mean_cross_tau
KU Leuven,1314,0.5768645357686454,0.8095383054287164,0.5734000144959049
OULAD,6829,0.5907160638453653,0.8052367703561144,0.22878759352620828
Oviedo,1271,0.5704169944925256,0.7918099733992733,0.49830279869618976
UKZN,2421,0.4436183395291202,0.7673295175153912,0.47070277925296516
Zambia,40,0.15,0.720952380952381,0.5052380952380953
