covariate,spearman_vs_self_tau_shap,spearman_vs_cross_tau
margin,0.18408417618255418,0.1380598666777385
p_risk,-0.15060761631673356,-0.10169028552181575
active_weeks,-0.17508996589179557,-0.4940364096471304
weeks_since_active,0.16448216889131723,0.1548913540226334
cum_clicks,-0.11852261465699472,-0.399085937532286
