feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json,metric_mae,metric_rmse,metric_r2
B_lms,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.813209404914905,3.4742868229486765,0.9719700906036228
B_lms,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.4986315825545793,3.1597056490164186,0.9768162540640323
C_twin,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin,gradient_boosting,passed,classification,student_group,602,196,86,28,0.9948979591836735,0.9929078014184397,1.0,0.99644128113879,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
C_twin,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.036670945642393,2.6976657748788337,0.9831007807771381
C_twin,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.731639405153034,2.149101285267497,0.9892748315145331
C_twin,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.6799021603667237,2.265422180952575,0.9880824041800147
C_twin,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
C_twin,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.3959261464757065,2.9373100213989676,0.9799649731123659
C_twin,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.659956986655452,3.234426558200257,0.9757067877645462
C_twin,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.5980208553333766,3.2551357784885186,0.9753947051958595
