group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.49130170729597405,0.37691579054582347,0.5953416654904853,1000,0.5315103975178692,0.3954587265843423,0.6674519022501243,1000
OULAD,6829,19,0.5923802480464286,0.5120036208947931,0.6518706174756984,1000,0.5609714935475806,0.5024538189303485,0.6184864793039752,1000
Oviedo,1271,20,0.38578086380604637,0.2110585484318132,0.5522104626888931,1000,0.4438396455763032,0.33702436335203556,0.5432012784051442,1000
UKZN,2421,16,0.42558074062921103,0.29153722985332386,0.5803498401651195,1000,0.3892411121328715,0.28353949548392654,0.4938660124628983,1000
Zambia,40,2,0.034952551589606,0.034952551589606,0.4794677459774895,1000,0.38455283686776304,0.28963792775803654,0.47946774597748953,1000
ALL,11875,63,0.5615586520927209,0.49471383007117126,0.6202888314190667,1000,0.47176630383966317,0.42330051888321757,0.5194813281024158,1000
