group,students,mean_lime_seed_tau,median_lime_seed_tau,p10_lime_seed_tau,mean_self_tau_lime
all,11875,0.883957894736842,0.9047619047619049,0.7142857142857143,0.6739384461152883
OULAD,6829,0.8944417714369391,0.9047619047619049,0.7142857142857143,0.7637191529123
KU Leuven,1314,0.8935275784590855,0.9047619047619049,0.7142857142857143,0.5929259984054505
UKZN,2421,0.8608603292618163,0.9047619047619049,0.7142857142857143,0.5128498652662221
Zambia,40,0.9357142857142857,1.0,0.8095238095238096,0.5090476190476191
Oviedo,1271,0.8601026563261024,0.9047619047619049,0.7142857142857143,0.5873365553932036
