institution,students,gate_pass_rate,mean_self_tau_shap,mean_cross_tau
KU Leuven,1314,0.0380517503805175,0.6077118214104517,0.5834601725012685
OULAD,6829,0.0013179089178503441,0.3932598372487083,0.24038240277806833
Oviedo,1271,0.004720692368214005,0.4291409089206099,0.5002360346184107
UKZN,2421,0.009913258983890954,0.44388190633543795,0.4727326370449048
Zambia,40,0.0,0.2442857142857143,0.4333333333333334
