covariate,spearman_vs_self_tau_shap,spearman_vs_cross_tau
margin,0.04547757439909698,0.1484336751481815
p_risk,-0.06498139114094248,-0.10222216123637788
active_weeks,-0.27302549185885083,-0.5521048023592147
weeks_since_active,-0.026283471529499176,0.15943871547056368
cum_clicks,-0.16356719425860503,-0.42223646746172333
