target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large
oulad_AAA_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,383,0.7420178143199727,0.8137432188065099,0.5164319248826291,0.430327868852459,0.41904761904761906,0.5714285714285714,2.0843537414965985,0.18099097530917865,0.12481210756039723
oulad_AAA_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,383,0.43228845495032553,0.6679035250463822,0.21145374449339208,0.430327868852459,0.14285714285714285,0.19480519480519481,0.7105751391465678,0.27276398579863353,0.10357884107932824
oulad_AAA_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,365,0.7464709203839639,0.7766179540709812,0.5737051792828686,0.469601677148847,0.4107142857142857,0.6301369863013698,2.0535714285714284,0.1955649088406085,0.13628264090889447
oulad_AAA_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,365,0.4658914455110107,0.6865079365079365,0.3008849557522124,0.469601677148847,0.23214285714285715,0.3561643835616438,1.1607142857142856,0.27184889118547445,0.06345466920728376
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1767,0.8283621326664012,0.7364746945898778,0.7504132231404959,0.7059685097034054,0.3630705394190871,0.9915014164305949,1.8174097539759968,0.16278320791248907,0.006571993510740226
oulad_BBB_2013B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1767,0.7388740614810643,0.7219327333017527,0.5874912157413914,0.7059685097034054,0.3475103734439834,0.9490084985835694,1.7395207645198827,0.2527324768613435,-0.24051593668836235
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2237,0.8473224008711806,0.6978898610396295,0.7680758593441328,0.684891240446796,0.3776824034334764,0.9843400447427293,1.8901018713214468,0.16771151187387998,0.10248388284744636
oulad_BBB_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2237,0.7482079943629494,0.7633760361718162,0.654945054945055,0.684891240446796,0.3605150214592275,0.9395973154362416,1.8041881498977448,0.222603392336435,-0.1614802322691195
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1613,0.8479573745346378,0.6379170056956875,0.7771657486229344,0.7090836334533814,0.36455981941309257,1.0,1.8205417607223477,0.1691180482759607,0.11208607585154051
oulad_BBB_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1613,0.8137790666985445,0.6587482868889905,0.2796528447444552,0.7090836334533814,0.34988713318284426,0.9597523219814241,1.7472691821174233,0.24825815311749438,-0.2540928943726912
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2292,0.8563280488547756,0.6228070175438597,0.7507246376811594,0.6643356643356644,0.3956140350877193,0.9847161572052402,1.9797977476442197,0.18948890057191314,0.1768907186151516
oulad_BBB_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2292,0.735789778265107,0.7602815857725084,0.656763925729443,0.6643356643356644,0.36140350877192984,0.8995633187772926,1.808595725120662,0.21879676796490172,-0.11853127529206808
oulad_CCC_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1936,0.8735454662860975,0.7216916780354706,0.830423940149626,0.7933935805546899,0.3040062843676355,1.0,1.5208169677926158,0.13925220118821952,-0.023489861009210244
