group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.3982897712893505,0.3247300119381922,0.49217854059398874,1000,0.4405428692781254,0.34825397023410287,0.5225264367394967,1000
OULAD,6829,19,0.5475123291375489,0.4373273906532423,0.6315456137009638,1000,0.5694252549532982,0.4810675605010824,0.6349075602754555,1000
Oviedo,1233,20,0.5044917924739537,0.38136190766061523,0.6179155602953561,1000,0.33799380537266954,0.15460682975340215,0.49749535987287374,1000
UKZN,2421,16,0.37263445301815834,0.30071282630143176,0.4448153496269548,1000,0.3904136125577665,0.3283161920218737,0.4538981328511096,1000
Zambia,40,2,0.4595654226089735,0.3632252572531294,0.5779426891780952,1000,0.47058397321561224,0.3632252572531294,0.5779426891780951,1000
ALL,11837,63,0.46962584785694583,0.3834832656132511,0.5384987249901375,1000,0.4350793478506397,0.3658799383535406,0.49293338477531773,1000
