distance,representation,rule,n_pairs,f1_fail,f1_fail_baseline,alert_rate,recall,precision,beats_baseline_share
D1_same_module,percentile,fixed_0.5,78.0,0.4717104699396909,0.5168499607108752,0.3105518701729889,0.44476201106000923,0.5426560448711493,0.6282051282051282
D1_same_module,percentile,source_rate,78.0,0.5086019083156612,0.5168499607108752,0.3756378600383102,0.5180577237617371,0.5186901127766608,0.6794871794871795
D1_same_module,raw,fixed_0.5,78.0,0.49298454749231235,0.5168499607108752,0.36686785002557776,0.5200147310383464,0.5627198262114258,0.7051282051282052
D1_same_module,raw,source_rate,78.0,0.5200882333604668,0.5168499607108752,0.3756378600383102,0.5303291528743068,0.5308402123498072,0.7307692307692307
D2_other_module,percentile,fixed_0.5,916.0,0.43676612813988913,0.5369454896746221,0.3407492448987055,0.4469559035169259,0.5341351748156011,0.3722707423580786
D2_other_module,percentile,source_rate,916.0,0.4820244740317817,0.5369454896746221,0.3902728696962032,0.508432325238248,0.5111221521325175,0.42467248908296945
D2_other_module,raw,fixed_0.5,916.0,0.47186096605766187,0.5369454896746221,0.45876807309821893,0.5537735632857751,0.5078366811326708,0.4192139737991266
D2_other_module,raw,source_rate,916.0,0.4776059187673244,0.5369454896746221,0.3902728696962032,0.5029590105889579,0.5072720295555924,0.4170305676855895
D3_other_institution,percentile,fixed_0.5,2912.0,0.3492228700147481,0.5456385516645036,0.34802021540025724,0.41872578237049785,0.47897493948808656,0.2657967032967033
D3_other_institution,percentile,source_rate,2912.0,0.41258420916338356,0.5456385516645036,0.39624078740306967,0.48000666188472263,0.48939485305001873,0.26854395604395603
D3_other_institution,raw,fixed_0.5,2912.0,0.4202968825068562,0.5456385516645036,0.5225981246447656,0.5764101527291715,0.49880453013343173,0.2657967032967033
D3_other_institution,raw,source_rate,2912.0,0.4069024324658013,0.5456385516645036,0.39624078740306967,0.466493908986682,0.4899678771438271,0.2342032967032967
