distance,representation,model,n_pairs,auc_mean,auc_ci_low,auc_ci_high,f1_fail_mean,recall_flag20_mean,brier_mean,tau_mean,jaccard_top3_mean
D0_within_cohort,percentile,gradient_boosting,63,0.7233212786219021,0.6882661776034423,0.7640149239423975,0.5570497042448439,0.3493227334234355,0.18669321688041554,1.0,1.0
D0_within_cohort,raw,gradient_boosting,63,0.7231339140484407,0.6838114449947661,0.7607512247836311,0.555535014707921,0.3483799705269278,0.18722464902253177,1.0,1.0
D0_within_cohort,zscore,gradient_boosting,63,0.7221803795629353,0.6830362696910295,0.7602241945849376,0.5546289686097811,0.34842831497801213,0.18769097258096729,1.0,1.0
D1_same_module,percentile,gradient_boosting,78,0.7999021656471246,0.7674447780836119,0.829202702040856,0.6083972659643514,0.36398530514809607,0.15229941265072286,0.37728937728937734,0.5717948717948719
D1_same_module,raw,gradient_boosting,78,0.7798386584333458,0.7432601979083753,0.8152062522073318,0.6217944240122022,0.3525801328920692,0.1722608520250641,0.33089133089133094,0.5371794871794874
D1_same_module,zscore,gradient_boosting,78,0.7948979252667433,0.7657476352734898,0.8262907833666607,0.605681999278401,0.35911178387009607,0.15295748489233227,0.36996336996337,0.5717948717948719
D2_other_module,percentile,gradient_boosting,916,0.6983261179245099,0.6884702079886738,0.7080010888185317,0.49091876641947507,0.318820296478874,0.24051579492331346,0.164691203992514,0.405349344978166
D2_other_module,raw,gradient_boosting,916,0.6898581639470348,0.6798298113490732,0.7000594241530262,0.5328653329279236,0.32113310577826354,0.2640949190623297,0.15315034310667497,0.3951965065502183
D2_other_module,zscore,gradient_boosting,916,0.7001250254424838,0.6903651444025249,0.7094002730248496,0.5017186084232201,0.32178920696502344,0.23966662479710826,0.1536702017051362,0.4073144104803494
D3_other_institution,percentile,gradient_boosting,2912,0.6513094858859517,0.6471025763892411,0.6555130990598835,0.37816977413739744,0.30037685843410455,0.31898902843092614,0.0326399790685505,0.3248282967032967
D3_other_institution,raw,gradient_boosting,2912,0.6208081208248417,0.6155004433986281,0.625557800378997,0.46337837487852335,0.29109527580437394,0.3379029180678021,0.023613291470434325,0.32699175824175825
D3_other_institution,zscore,gradient_boosting,2912,0.6411787663756394,0.6366059993351615,0.6457041937855985,0.37576635312892775,0.2922435209825724,0.3439748158253658,0.030416012558869707,0.33087225274725274
D0_within_cohort,percentile,logistic_regression,63,0.7588079368642512,0.7269099624580981,0.7908879491012812,0.544636206081704,0.3791632235254519,0.1530577650797444,,
D0_within_cohort,raw,logistic_regression,63,0.7575072263657918,0.725046572121123,0.7883677931815468,0.542833788104297,0.37644594094369693,0.15344336624784122,,
D0_within_cohort,zscore,logistic_regression,63,0.7575072263657918,0.7231127062913312,0.7913144226108285,0.542833788104297,0.37644594094369693,0.15344336624784127,,
D1_same_module,percentile,logistic_regression,78,0.80654725782945,0.777488159439827,0.8341244825624486,0.6065153016722342,0.36645309492343603,0.14150708555702243,,
D1_same_module,raw,logistic_regression,78,0.8022889066267587,0.768625491878235,0.8349752767398736,0.6097993904849499,0.35994514806408023,0.164284203269516,,
D1_same_module,zscore,logistic_regression,78,0.8233051116800558,0.7976044754662263,0.8471303394365438,0.6044654468660553,0.3838993296240387,0.13640460144547228,,
D2_other_module,percentile,logistic_regression,916,0.7196767597138577,0.7097707230097814,0.7295185641525322,0.4887473521890969,0.33929298306219263,0.2104974546303509,,
D2_other_module,raw,logistic_regression,916,0.7065458010743496,0.6948814684440913,0.7177472534312029,0.5004331111017655,0.3329421405758614,0.23748012869455024,,
D2_other_module,zscore,logistic_regression,916,0.730116050113557,0.720295281391598,0.7396515926116014,0.4821813315729845,0.3478677350367338,0.20557341607080865,,
D3_other_institution,percentile,logistic_regression,2912,0.6800025505196429,0.6748783304332913,0.6854935893928814,0.3779864743235696,0.3246034649126906,0.28797382484912326,,
D3_other_institution,raw,logistic_regression,2912,0.6233006419290139,0.6169658277460106,0.6297485308268651,0.4196682032441463,0.29049760114617784,0.32465747532740497,,
D3_other_institution,zscore,logistic_regression,2912,0.6945145450983643,0.6897887734495527,0.6994116628471935,0.3569908416149396,0.3309479827365289,0.296635238719566,,
D0_within_cohort,percentile,random_forest,63,0.7375391336821286,0.6976643541072837,0.7719525144202106,0.5549077654264969,0.36641704648703793,0.1601305560008495,,
D0_within_cohort,raw,random_forest,63,0.7370091419259296,0.700949752256474,0.7743088677549861,0.5512882650498542,0.36651822240680904,0.16014180398635747,,
D0_within_cohort,zscore,random_forest,63,0.7368789014571371,0.6994182979170549,0.7756678572603894,0.5529353416522659,0.36589458384376694,0.1602498503021625,,
D1_same_module,percentile,random_forest,78,0.8039300777224493,0.7761589404228013,0.8312352690612693,0.6097929162986545,0.37382850797570893,0.14406935766195877,,
D1_same_module,raw,random_forest,78,0.7875311102035036,0.7523911799436781,0.819415958088198,0.6235082923856285,0.3620045938619934,0.15313634603438064,,
D1_same_module,zscore,random_forest,78,0.8039111104139868,0.7756147534239645,0.8318134684929231,0.6036351971313662,0.3682876569643209,0.14482756234703703,,
D2_other_module,percentile,random_forest,916,0.7126741245898648,0.7025280542729785,0.7221581316511485,0.4844839421519423,0.33544230331530084,0.2104288393519977,,
