target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large
oulad_AAA_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,383,0.8261904761904761,0.8632326820603907,0.6206896551724138,0.430327868852459,0.5238095238095238,0.7142857142857143,2.6054421768707487,0.14207306423625682,0.09873215094305138
oulad_AAA_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,383,0.6928914011647825,0.8376068376068376,0.47513812154696133,0.430327868852459,0.41904761904761906,0.5714285714285714,2.0843537414965985,0.174801538216077,0.059434336815270605
oulad_AAA_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,365,0.8397092038396387,0.8363636363636363,0.6553191489361702,0.469601677148847,0.5803571428571429,0.8904109589041096,2.901785714285714,0.14101197490155465,0.10215378174553713
oulad_AAA_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,365,0.764751552795031,0.8481481481481481,0.5684210526315789,0.469601677148847,0.4732142857142857,0.726027397260274,2.3660714285714284,0.1662066033781771,0.03216636854162658
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1767,0.8970425995876459,0.8395604395604396,0.8296382730455076,0.7059685097034054,0.3651452282157676,0.9971671388101983,1.8277949525701453,0.11837177484464444,-0.006243451540107192
oulad_BBB_2013B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1767,0.8539986203190318,0.7967887606623181,0.737183646982479,0.7059685097034054,0.3651452282157676,0.9971671388101983,1.8277949525701453,0.18894432868098351,-0.19116418557029807
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2237,0.9205788386394208,0.810784785748676,0.8360450563204005,0.684891240446796,0.38369098712446353,1.0,1.9201716738197427,0.11453686759771109,0.08239998591627651
oulad_BBB_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2237,0.8195603260521426,0.7957627118644067,0.771996215704825,0.684891240446796,0.34506437768240344,0.8993288590604027,1.726865800616413,0.19088879987789623,-0.11407385926262059
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1613,0.9108010594266304,0.8190104166666666,0.8355029585798817,0.7090836334533814,0.36455981941309257,1.0,1.8205417607223477,0.11525619877511091,0.05036925391046454
oulad_BBB_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1613,0.876090243773695,0.8257839721254355,0.800531914893617,0.7090836334533814,0.36343115124153497,0.9969040247678018,1.814905408521969,0.171316522021612,-0.16423943634366717
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2292,0.9057325932017545,0.7718631178707225,0.8064516129032258,0.6643356643356644,0.39210526315789473,0.9759825327510917,1.9622385658469317,0.13889780240501534,0.12704136685447787
oulad_BBB_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2292,0.86795542458577,0.8245828245828246,0.7973671838269863,0.6643356643356644,0.38596491228070173,0.9606986899563319,1.9315099977016776,0.16010548890330045,-0.06968833534437469
oulad_CCC_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1936,0.9233399565639295,0.7965766951942067,0.8686782830429239,0.7933935805546899,0.3040062843676355,1.0,1.5208169677926158,0.10597868015945298,-0.02133851792174324
