source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large,explanation_tau,explanation_jaccard_top3
oulad_AAA_2013J,oulad_AAA_2013J,OULAD,OULAD,D0_within_cohort,raw,gradient_boosting,383,0.7831791709489551,0.8615916955017301,0.574468085106383,0.430327868852459,0.4857142857142857,0.6623376623376623,2.4159554730983306,0.15774462841879813,-0.00628785382893593,1.0,1.0
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,365,0.8014186900056466,0.8773234200743495,0.65625,0.469601677148847,0.5446428571428571,0.8356164383561644,2.7232142857142856,0.1440483883620375,-0.013311594689882633,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1767,0.8754870222144137,0.758220502901354,0.81089258698941,0.7059685097034054,0.36099585062240663,0.9858356940509915,1.8070245553818483,0.16228016902497103,0.0541312195747069,0.23809523809523814,0.5
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2237,0.8968603869066685,0.7414684591520165,0.8031496062992126,0.684891240446796,0.37939914163090127,0.9888143176733781,1.8986932434638173,0.1623705140251995,0.10429932342019832,0.23809523809523814,0.5
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1613,0.8771234331384427,0.680379746835443,0.7940876656472987,0.7090836334533814,0.3623024830699774,0.9938080495356038,1.80926905632159,0.18723826085868828,0.11530505604617802,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2292,0.8717029117933723,0.7679856115107914,0.7813559322033898,0.6643356643356644,0.3912280701754386,0.9737991266375546,1.9578487703976097,0.15949916749571946,0.062033668446397794,0.6190476190476191,1.0
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1936,0.8815152624588418,0.7418278852568378,0.8369152970922883,0.7933935805546899,0.3040062843676355,1.0,1.5208169677926158,0.14029081738066898,-0.05649255149134935,0.04761904761904762,0.2
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2498,0.865861703576494,0.7766726943942134,0.8225574712643678,0.7450389349409695,0.3331085637221848,0.988,1.6642103843560352,0.14669059816175944,-0.03325251036259602,0.23809523809523814,0.5
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1303,0.8410342951808718,0.7511591962905718,0.7545731707317073,0.7566793893129771,0.3291298865069357,1.0,1.6431273644388398,0.18948543476114532,-0.16105217970965358,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1938,0.871958349331764,0.8010204081632653,0.7964509394572025,0.7279291106005907,0.3480613165013526,0.9948453608247423,1.7385124520093334,0.15533832811491227,-0.11087625802067719,0.5238095238095238,0.5
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1228,0.8843398713942878,0.7848324514991182,0.8154311649016641,0.7577137076378352,0.32710280373831774,0.9959349593495935,1.6328546463034723,0.14873899149726005,-0.10163125802586492,-0.04761904761904762,0.2
oulad_AAA_2013J,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1803,0.8513928853320545,0.7755102040816326,0.7603211009174312,0.718550106609808,0.35311572700296734,0.9889196675900277,1.763622315197646,0.17021936152576445,-0.0997896980034157,0.5238095238095238,1.0
oulad_AAA_2013J,oulad_EEE_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1052,0.8984921438023329,0.8839009287925697,0.8152709359605911,0.5926421404682275,0.4717832957110609,0.9952380952380953,2.363409652800172,0.10791768242164027,-0.00814855756830618,0.14285714285714288,0.5
oulad_AAA_2013J,oulad_EEE_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,694,0.886537997988513,0.8439897698209718,0.7986798679867987,0.6537342386032978,0.4124629080118694,1.0,2.059347181008902,0.12980219351192288,-0.03454723376003743,0.23809523809523814,0.2
oulad_AAA_2013J,oulad_EEE_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1188,0.9001946416968347,0.8838174273858921,0.8193548387096774,0.5957446808510638,0.47023809523809523,0.9957983193277311,2.347238895558223,0.10922880230167949,-0.00660954716631168,0.5238095238095238,0.5
oulad_AAA_2013J,oulad_FFF_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1614,0.8653192934782608,0.8082727780883175,0.7616400277970813,0.6802943581357318,0.3858173076923077,0.9938080495356038,1.92789205763277,0.16207544628085893,-0.09236964494979238,0.04761904761904762,0.2
oulad_AAA_2013J,oulad_FFF_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2283,0.9110930461387082,0.8482587064676617,0.83008356545961,0.6845289541918754,0.3846801346801347,1.0,1.9217171717171717,0.11987874375684954,-0.05735425090626117,-0.14285714285714288,0.2
oulad_AAA_2013J,oulad_FFF_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1500,0.8797190954374245,0.7997284453496266,0.8068107400130976,0.7212276214833758,0.35224586288416077,0.9933333333333333,1.7612293144208038,0.1463600287483536,-0.0700195544708736,0.4285714285714286,0.5
oulad_AAA_2013J,oulad_FFF_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2365,0.9200705013428827,0.8607802874743327,0.8522875816993464,0.6908386382507611,0.37740384615384615,0.9957716701902748,1.8870192307692306,0.11043461158630018,-0.048121668281819574,-0.04761904761904762,0.0
oulad_AAA_2013J,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,756,0.4145720862105043,0.1946624803767661,0.4137142857142857,0.4587155963302752,0.12,0.17880794701986755,0.600794701986755,0.49792973620539205,0.4692522369551943,-0.14285714285714288,0.2
oulad_AAA_2013J,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,743,0.6266654398233344,0.5655172413793104,0.5860709592641261,0.6086142322097378,0.28923076923076924,0.6308724832214765,1.4422715539494062,0.28638317536711916,0.15051600516058883,0.5238095238095238,0.5
oulad_AAA_2013J,ku_Accountancy_1920,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,711,0.37831361322002577,0.15625,0.425531914893617,0.48723404255319147,0.10043668122270742,0.1619718309859155,0.502890706685528,0.5196435900116853,0.47300246363369214,-0.33333333333333337,0.0
oulad_AAA_2013J,ku_Globaleconom_1920,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,681,0.3402339290291013,0.07259528130671507,0.36991368680641185,0.3938679245283019,0.11377245508982035,0.13970588235294118,0.56969883761888,0.698430678878573,0.6744374282265634,-0.4285714285714286,0.2
oulad_AAA_2013J,ku_Accountancy_2021,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,725,0.44288163576327155,0.015384615384615385,0.44946236559139785,0.4607218683651805,0.2119815668202765,0.31724137931034485,1.0599078341013826,0.6438782599617524,0.6385233867199449,-0.6190476190476191,0.2
oulad_AAA_2013J,ku_Globaleconom_2021,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,335,0.4929554858039663,0.18691588785046728,0.618421052631579,0.6546184738955823,0.1901840490797546,0.4626865671641791,0.9509202453987731,0.36943404797883966,0.2732124004673648,-0.5238095238095238,0.2
oulad_AAA_2013J,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1056,0.6158194555245313,0.818018018018018,0.3221476510067114,0.2967741935483871,0.3532608695652174,0.3080568720379147,1.7679785699567279,0.19547707576507026,0.18372803779126134,0.23809523809523814,0.2
oulad_AAA_2013J,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,978,0.7229190922870763,0.6561604584527221,0.14285714285714285,0.09542356377799414,0.40816326530612246,0.10204081632653061,2.0366513952519787,0.32251944478896166,0.46325764805858405,0.14285714285714288,0.2
oulad_AAA_2013J,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,741,0.6344524043639088,0.4722838137472284,0.1793103448275862,0.15671641791044774,0.3968253968253968,0.16891891891891891,1.9868082368082367,0.39517303885858657,0.5269913520017265,0.23809523809523814,0.5
oulad_AAA_2013J,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,257,0.6296296296296297,0.31759656652360513,0.43416370106761565,0.4184615384615385,0.29411764705882354,0.39215686274509803,1.4821222606689735,0.4286384676809558,0.47048482777031525,0.23809523809523814,0.2
oulad_AAA_2013J,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1113,0.6511111111111111,0.4960698689956332,0.4662349676225717,0.4246284501061571,0.29,0.3901345291479821,1.4473991031390137,0.3375135570027546,0.3559563468951485,0.33333333333333337,1.0
