group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.21901307575554255,0.1501474120148703,0.37609408757410195,1000,0.3894139911930665,0.2706006383722969,0.49720039494921237,1000
OULAD,6829,19,0.38929835264126017,0.3033606538477884,0.47437924017052124,1000,0.42979560457379334,0.340603412710075,0.514959080761798,1000
Oviedo,1271,20,0.470028327195705,0.34547446395752074,0.5606435072717557,1000,0.4191166140955177,0.331978843779717,0.5133486771563618,1000
UKZN,2421,16,0.39414950174916397,0.2774684479069494,0.5200159157406707,1000,0.3972326815995613,0.33267758933142305,0.45088273230219317,1000
Zambia,40,2,0.4139606875591226,-0.03634477556656809,0.44002281130048737,1000,0.20183901786695968,-0.036344775566568094,0.4400228113004874,1000
ALL,11875,63,0.3046633072479456,0.23438200634081294,0.37748808087331,1000,0.407052915195202,0.3647716497102464,0.4490319738327909,1000
