institution,students,gate_pass_rate,mean_self_tau_shap,mean_cross_tau
KU Leuven,1314,0.3127853881278539,0.7373921867072553,0.5732260636370227
OULAD,6829,0.30956216137062526,0.7088355682000433,0.256077373107685
Oviedo,1271,0.25413060582218727,0.6800569480349182,0.4803941403469335
UKZN,2421,0.23461379595208592,0.694750299954761,0.4522609704765839
Zambia,40,0.25,0.7300000000000001,0.44333333333333336
