threshold,coverage,students_shown,mean_cross_tau,mean_cross_jaccard_top3
0.0,0.9998315789473684,11873,0.3558494062157837,0.5155647266908111
0.05,0.999578947368421,11870,0.35590163276768166,0.5155855096882898
0.1,0.9989052631578947,11862,0.35604692053857456,0.5156820097791267
0.15,0.9980631578947369,11852,0.35627179660254243,0.515801552480594
0.2,0.9968842105263158,11838,0.356712443382489,0.5160162189559048
0.25,0.9933473684210526,11796,0.35761113533239675,0.5165242455069515
0.3,0.9850947368421052,11698,0.3595616670330297,0.517727816720807
0.35,0.9781894736842105,11616,0.36118326118326116,0.5186449724517906
0.4,0.957978947368421,11376,0.3652551737994776,0.5211462728551336
0.45,0.930021052631579,11044,0.3705886411065694,0.5242810575878305
0.5,0.8986947368421052,10672,0.37659563075605057,0.5276592953523239
0.55,0.848,10070,0.385189388565754,0.5331281032770606
0.6,0.8014315789473684,9517,0.39247562006834885,0.5376505201218871
0.65,0.7045894736842105,8367,0.4025212427507157,0.5438938687701685
0.7,0.5722947368421053,6796,0.41900557751058054,0.556006474396704
0.75,0.47242105263157896,5610,0.4320787709023004,0.5635935828877005
0.8,0.2885052631578947,3426,0.4507102549134073,0.5735726795096323
0.85,0.14004210526315788,1663,0.4860922601151104,0.5864341551413109
0.9,0.07065263157894737,839,0.49963108008400026,0.5960429082240762
0.95,0.009263157894736843,110,0.5445887445887446,0.6381818181818183
