model,representation,n_pairs,r2,beta_d_prevalence,beta_d_scale,beta_d_length,beta_d_shape,corr_d_prevalence,corr_d_scale,corr_d_length,corr_d_shape
gradient_boosting,percentile,3906,0.016167433863549463,0.002340597941496405,0.00827129318991239,-0.0003560720554254028,0.007635720807952149,0.027475066426211864,0.11873806896773102,0.02336386336049057,0.11718918550952026
gradient_boosting,raw,3906,0.023586572454399435,0.0007422758828131549,0.001241193185929591,-0.001396940126702888,0.01905753914640478,0.017339977196318895,0.12354241276654775,0.04454736799989059,0.15285580464792756
gradient_boosting,zscore,3906,0.014524991380806096,0.004368798560360199,0.01099198126594789,-0.002170321595466566,0.004327106960947032,0.0392716297991072,0.11392482165583706,-1.435582740774421e-05,0.09678446206493577
logistic_regression,percentile,3906,0.016279478772266764,-0.001295727263236384,0.0068124511899105055,-0.0029255937318922133,0.010001853485936008,-0.003908120446437591,0.11907092611862394,0.005963411355505923,0.11632484489027144
logistic_regression,raw,3906,0.029652155188503393,0.0033726956451614522,-0.0004509569846410013,-0.004575349825183773,0.031218715728406458,0.03143558412850988,0.13507360232656052,0.04158360854036124,0.1696419985222533
logistic_regression,zscore,3906,0.05063185540553217,0.0009532642415909774,0.025978739297614267,0.002208678640979938,0.000690124638488672,0.019692133805795643,0.22382307905251628,0.024540869025537114,0.18033258432950178
random_forest,percentile,3906,0.026297167806878075,-1.4902409145660979e-05,0.015396154990872593,-0.002704733679893304,0.0026737962885989165,0.0055424415998079225,0.16080562652416794,-0.013962210524092272,0.1241398273105754
random_forest,raw,3906,0.044558853843821744,-0.002541895357890813,0.01461789538709074,-0.0063262800535345935,0.011980538797715901,-0.013293881025683187,0.2017950082117555,-0.016853088233232602,0.17644079240981014
random_forest,zscore,3906,0.04309969703934868,0.0021668104841570377,0.021645470534189016,-0.0023262355741173173,0.0023673720467924132,0.026832271720015646,0.20611357152464127,-0.008290803637215167,0.15966089793926344
