source,target,d_prevalence,d_scale,d_length,d_shape
oulad_AAA_2013J,oulad_AAA_2014J,0.03269787903716148,0.03841971124303971,0,0.07939278433215986
oulad_AAA_2013J,oulad_BBB_2013B,0.2714060059607453,0.403877379950764,4,0.27991734579436883
oulad_AAA_2013J,oulad_BBB_2013J,0.24663533196151594,0.6090536123739666,0,0.3581742212496522
oulad_AAA_2013J,oulad_BBB_2014B,0.2751356067461017,0.6996643202023732,5,0.39388704189870954
oulad_AAA_2013J,oulad_BBB_2014J,0.22323076292154798,0.4901493056597423,1,0.35900994849021595
oulad_AAA_2013J,oulad_CCC_2014B,0.383389886282718,0.31656739025327907,4,0.34210803141790563
oulad_AAA_2013J,oulad_CCC_2014J,0.31952350392062995,0.2500316697322986,0,0.31710097656640795
oulad_AAA_2013J,oulad_DDD_2013B,0.33444411270235985,0.13951848035332579,4,0.18256466656723944
oulad_AAA_2013J,oulad_DDD_2013J,0.2980879860532917,0.24087543849152823,1,0.19605090902652114
oulad_AAA_2013J,oulad_DDD_2014B,0.3357834173888638,0.26509541616817456,4,0.2167508841929029
oulad_AAA_2013J,oulad_DDD_2014J,0.2865806771134271,0.37006307184585446,1,0.22927823679834036
oulad_AAA_2013J,oulad_EEE_2013J,0.14695122556562656,0.01914751082111832,0,0.13913499162533702
oulad_AAA_2013J,oulad_EEE_2014B,0.21143934206665105,0.10549284108746122,4,0.1913443626673775
oulad_AAA_2013J,oulad_EEE_2014J,0.15009098821109257,0.06297587224909054,0,0.16907386685454573
oulad_AAA_2013J,oulad_FFF_2013B,0.241338031130998,0.20146693115299869,4,0.17657160605611014
oulad_AAA_2013J,oulad_FFF_2013J,0.2462165008937669,0.0744144805501456,0,0.13303804142092363
oulad_AAA_2013J,oulad_FFF_2014B,0.28984856396866837,0.02066039721506845,4,0.1541041899788636
oulad_AAA_2013J,oulad_FFF_2014J,0.25354412422236816,0.04227475752682561,0,0.15643227378001803
oulad_AAA_2013J,ku_Accountancy_1819,0.02372090439420027,0.684304564793159,26,0.694165800312681
oulad_AAA_2013J,ku_Globaleconom_1819,0.1632644455299066,1.004182643712176,24,0.6737743243792743
oulad_AAA_2013J,ku_Accountancy_1920,0.043579060422569094,0.6118829023928308,26,0.7042693395340471
oulad_AAA_2013J,ku_Globaleconom_1920,0.028923829570244974,0.3716926965793627,24,0.5753841822670109
oulad_AAA_2013J,ku_Accountancy_2021,0.02460375069066012,0.02572232156828546,26,0.5731274276283648
oulad_AAA_2013J,ku_Globaleconom_2021,0.21241572814777288,0.3386924364764373,24,0.5981506121017441
oulad_AAA_2013J,ukzn_ISTN101_2019,0.09990901178890743,0.5924543505545049,6,0.5567976953420818
oulad_AAA_2013J,ukzn_ISTN101_2020,0.2240491865425791,0.5178207322576007,4,0.5436678924400977
oulad_AAA_2013J,ukzn_ISTN101_2021,0.18913119311635185,0.09071062092651043,15,0.5383427437845467
oulad_AAA_2013J,ukzn_ISTN102_2018,0.009559996342615729,1.1244764752747123,20,0.6698238214732001
oulad_AAA_2013J,ukzn_ISTN103_2019,0.004609657055590355,1.1244764752747123,20,0.6631344394499512
oulad_AAA_2013J,ukzn_ISTN103_2020,0.16786677799066618,1.101969134276861,25,0.6314794118397348
oulad_AAA_2013J,ukzn_ISTN211_2019,0.2062942931741888,0.6190378332805675,2,0.5521633718761656
oulad_AAA_2013J,ukzn_ISTN211_2021,0.2221636684472338,0.7753850341404916,20,0.6440360128529338
oulad_AAA_2013J,ukzn_ISTN212_2018,0.08927748645149969,1.018423082826786,21,0.650544290823379
oulad_AAA_2013J,ukzn_ISTN212_2019,0.11506052694042257,0.9704995305096032,20,0.6642916482994812
oulad_AAA_2013J,ukzn_ISTN2IP_2018,0.021626183506079144,1.0331463396474925,19,0.6413029963943802
oulad_AAA_2013J,ukzn_ISTN2IP_2019,0.032772125686504006,0.7512513544237722,6,0.6065769334653821
oulad_AAA_2013J,ukzn_ISTN3ND_2018,0.12168189730200174,1.1244764752747123,21,0.6649053006755358
oulad_AAA_2013J,ukzn_ISTN3ND_2019,0.07684201899097287,0.6175973859172603,20,0.5966751580211519
oulad_AAA_2013J,ukzn_ISTN3SA_2018,0.061385478584523145,0.6859846229111807,3,0.5398509606609158
oulad_AAA_2013J,ukzn_ISTN3SA_2019,0.14594630782620344,0.6147307452656571,4,0.5024990675121224
oulad_AAA_2013J,zambia_ICT1110_2020,0.4796947178148222,0.8009391386128798,4,0.46705305138725495
oulad_AAA_2013J,zambia_ICT1110_2021,0.34123317935328373,0.6504462975321916,3,0.5417109000659915
oulad_AAA_2013J,oviedo_C1112_1415,0.26856213180786437,0.7671905555252201,15,0.5967734982259302
oulad_AAA_2013J,oviedo_C1127_1415,0.09377309227055519,0.7473563105402481,13,0.6221277613957056
oulad_AAA_2013J,oviedo_C1200_1415,0.3239794050901637,0.46413587329482436,4,0.4626115935259197
oulad_AAA_2013J,oviedo_C1303_1415,0.35084856396866837,1.0406994775379383,15,0.7002884051793041
oulad_AAA_2013J,oviedo_C174_1415,0.19459856396866837,0.32308736314586134,3,0.4200974449832152
oulad_AAA_2013J,oviedo_C190_1415,0.2704914211115255,0.5979172462560071,5,0.510264027281931
oulad_AAA_2013J,oviedo_C1978_1415,0.0063363688467171775,0.9903943592265425,3,0.5734277344638422
oulad_AAA_2013J,oviedo_C2011_1415,0.057484769364664956,1.02205736748188,3,0.5707385303991048
oulad_AAA_2013J,oviedo_C2024_1415,0.11513002930350291,0.852091661060261,13,0.6564885757402585
oulad_AAA_2013J,oviedo_C2150_1415,0.11264101679885707,0.441506126861579,2,0.47948878551371277
oulad_AAA_2013J,oviedo_C2271_1415,0.1402780941700107,0.9903943592265425,16,0.666087981795834
oulad_AAA_2013J,oviedo_C2335_1415,0.4034186574266123,2.3194530784907674,5,0.8160227561901509
oulad_AAA_2013J,oviedo_C2406_1415,0.34990871434460824,0.5247327266739307,2,0.47580158901543307
oulad_AAA_2013J,oviedo_C2468_1415,0.22584856396866837,0.9244180604621369,17,0.6793014983488141
oulad_AAA_2013J,oviedo_C2607_1415,0.46231065783148423,2.4955443375464483,3,0.8258543541461035
oulad_AAA_2013J,oviedo_C3022_1415,0.011562849682954068,2.194514341882467,6,0.7708195549760374
oulad_AAA_2013J,oviedo_C3029_1415,0.054852892972997336,0.9640654205041933,6,0.6641202885141714
oulad_AAA_2013J,oviedo_C4189_1415,0.19459856396866837,2.7965743332104296,4,0.9239089891831406
oulad_AAA_2013J,oviedo_C4213_1415,0.14727713539723974,0.3424920624793397,2,0.41583630841370495
oulad_AAA_2013J,oviedo_C836_1415,0.23159569040544997,1.0406994775379383,4,0.5540864405544338
oulad_AAA_2014J,oulad_AAA_2013J,0.03269787903716148,0.03841971124303973,0,0.07939278433215986
oulad_AAA_2014J,oulad_BBB_2013B,0.23870812692358384,0.3654576687077242,4,0.23616176986877271
oulad_AAA_2014J,oulad_BBB_2013J,0.21393745292435445,0.5706339011309269,0,0.30528480710904576
oulad_AAA_2014J,oulad_BBB_2014B,0.24243772770894023,0.6612446089593336,5,0.3375941318276285
oulad_AAA_2014J,oulad_BBB_2014J,0.1905328838843865,0.4517295944167026,1,0.30859741874229435
oulad_AAA_2014J,oulad_CCC_2014B,0.3506920072455565,0.27814767901023935,4,0.2874195387427019
oulad_AAA_2014J,oulad_CCC_2014J,0.28682562488346847,0.21161195848925898,0,0.2615120667962942
oulad_AAA_2014J,oulad_DDD_2013B,0.30174623366519837,0.10109876911028604,4,0.15920148145255641
oulad_AAA_2014J,oulad_DDD_2013J,0.2653901070161302,0.20245572724848854,1,0.17345014429708439
oulad_AAA_2014J,oulad_DDD_2014B,0.3030855383517023,0.22667570492513486,4,0.18211847498358588
oulad_AAA_2014J,oulad_DDD_2014J,0.2538827980762656,0.3316433606028148,1,0.19446172013810425
oulad_AAA_2014J,oulad_EEE_2013J,0.11425334652846508,0.019272200421921428,0,0.11076655778202735
oulad_AAA_2014J,oulad_EEE_2014B,0.17874146302948957,0.0670731298444215,4,0.16220948921987174
oulad_AAA_2014J,oulad_EEE_2014J,0.11739310917393109,0.024556161006050854,0,0.13269913749365805
oulad_AAA_2014J,oulad_FFF_2013B,0.20864015209383652,0.23988664239603835,4,0.18282130186698095
oulad_AAA_2014J,oulad_FFF_2013J,0.21351862185660542,0.1128341917931853,0,0.11908559222295653
oulad_AAA_2014J,oulad_FFF_2014B,0.2571506849315069,0.059080108458108155,4,0.12899804305283757
oulad_AAA_2014J,oulad_FFF_2014J,0.22084624518520668,0.08069446876986536,0,0.13044190597551542
oulad_AAA_2014J,ku_Accountancy_1819,0.00897697464296121,0.6458848535501193,26,0.6727078735895408
oulad_AAA_2014J,ku_Globaleconom_1819,0.13056656649274512,0.9657629324691361,24,0.6518862284123442
oulad_AAA_2014J,ku_Accountancy_1920,0.010881181385407612,0.5734631911497912,26,0.679557535634481
oulad_AAA_2014J,ku_Globaleconom_1920,0.061621708607406456,0.333272985336323,24,0.5629565132431587
oulad_AAA_2014J,ku_Accountancy_2021,0.008094128346501361,0.01269738967475421,26,0.565289224881108
oulad_AAA_2014J,ku_Globaleconom_2021,0.1797178491106114,0.30027272523339765,24,0.5865584017291235
oulad_AAA_2014J,ukzn_ISTN101_2019,0.1326068908260689,0.5540346393114651,6,0.5323685732076143
oulad_AAA_2014J,ukzn_ISTN101_2020,0.2567470655797406,0.479401021014561,4,0.480255643731566
oulad_AAA_2014J,ukzn_ISTN101_2021,0.22182907215351333,0.05229090968347072,15,0.5169958616245566
oulad_AAA_2014J,ukzn_ISTN102_2018,0.04225787537977721,1.0860567640316725,20,0.6446899723590732
oulad_AAA_2014J,ukzn_ISTN103_2019,0.037307536092751836,1.0860567640316725,20,0.6459349829360538
oulad_AAA_2014J,ukzn_ISTN103_2020,0.20056465702782766,1.0635494230338212,25,0.6027089791680984
oulad_AAA_2014J,ukzn_ISTN211_2019,0.23899217221135027,0.5806181220375278,2,0.52573385518591
oulad_AAA_2014J,ukzn_ISTN211_2021,0.25486154748439527,0.7369653228974519,20,0.6280579543618378
oulad_AAA_2014J,ukzn_ISTN212_2018,0.12197536548866117,0.9800033715837464,21,0.6313506224407571
oulad_AAA_2014J,ukzn_ISTN212_2019,0.14775840597758405,0.9320798192665635,20,0.6495582043527249
oulad_AAA_2014J,ukzn_ISTN2IP_2018,0.054324062543240625,0.9947266284044527,19,0.6004941785763703
oulad_AAA_2014J,ukzn_ISTN2IP_2019,0.06547000472366549,0.7128316431807326,6,0.5821546663067684
oulad_AAA_2014J,ukzn_ISTN3ND_2018,0.08898401826484026,1.0860567640316725,21,0.6453794303109373
oulad_AAA_2014J,ukzn_ISTN3ND_2019,0.10953989802813435,0.5791776746742205,20,0.5797741173992786
oulad_AAA_2014J,ukzn_ISTN3SA_2018,0.09408335762168463,0.647564911668141,3,0.5170337677478453
oulad_AAA_2014J,ukzn_ISTN3SA_2019,0.17864418686336492,0.5763110340226174,4,0.47883988157960766
oulad_AAA_2014J,zambia_ICT1110_2020,0.4469968387776607,0.76251942736984,4,0.4460635255155803
oulad_AAA_2014J,zambia_ICT1110_2021,0.30853530031612225,0.612026586289152,3,0.5219554418184555
oulad_AAA_2014J,oviedo_C1112_1415,0.2358642527707029,0.7287708442821803,15,0.5769296580751114
oulad_AAA_2014J,oviedo_C1127_1415,0.06107521323339371,0.7089365992972084,13,0.5971015027877266
