metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.8275208020050124,0.7999879130249982,0.8501206607717009,0.8556412631578947,11875
tau_strict,occlusion,occlusion,self,0.8047839598997493,0.7821822601417496,0.8276736078548298,0.8259410526315789,11875
tau_strict,lime,lime,self,0.6756675689223057,0.6392732659577359,0.7063564414305971,0.7359738947368422,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.8410843107769425,0.8182491444655546,0.8613402148667195,0.8634652631578947,11875
tau_strict,shap,occlusion,cross,0.5418369924812031,0.501359271754323,0.5780955420787484,0.6802677894736842,11875
tau_strict,shap,lime,cross,0.652837694235589,0.6095742116883281,0.6901125931038778,0.6968673684210526,11875
tau_strict,shap,kernelshap_prob,cross,0.8661036591478697,0.8501702041864615,0.881015320625981,0.8765945263157896,11875
tau_strict,occlusion,lime,cross,0.3751322305764412,0.3269185956829625,0.4217131438744616,0.5539317894736842,11875
tau_strict,occlusion,kernelshap_prob,cross,0.5455647117794487,0.5117069068436896,0.5775100174466918,0.682874947368421,11875
tau_strict,lime,kernelshap_prob,cross,0.6442177443609023,0.6015070782389152,0.6791502157793214,0.6921768421052632,11875
tau_b,shap,shap,self,0.8275447252073335,0.8000135128921884,0.8501694352570472,,11875
tau_b,occlusion,occlusion,self,0.8043814606657392,0.7823295921562055,0.8268375158571093,,11875
tau_b,lime,lime,self,0.6756675689223057,0.6392732659577359,0.7063564414305971,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.8410843107769425,0.8182491444655546,0.8613402148667195,,11875
tau_b,shap,occlusion,cross,0.5483121178653683,0.5072320903289035,0.5838751536543225,,11875
tau_b,shap,lime,cross,0.65282506117741,0.6095738371120072,0.6901014344887779,,11875
tau_b,shap,kernelshap_prob,cross,0.8660904319224343,0.8501262354648468,0.8810055274147714,,11875
tau_b,occlusion,lime,cross,0.37942590014988986,0.3326605687901627,0.4249043301749468,,11875
tau_b,occlusion,kernelshap_prob,cross,0.5564842265290243,0.5208358621026619,0.5879286418559927,,11875
tau_b,lime,kernelshap_prob,cross,0.6442177443609023,0.6015070782389152,0.6791502157793214,,11875
