feature_set,n_features,source,target,distance,model,auc
S_shared7,7,oulad_DDD_2013B,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.829650166549228
S_shared7,7,oulad_DDD_2013B,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8355226183859579
S_shared7,7,oulad_DDD_2013B,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8354680646929824
S_shared7,7,oulad_DDD_2013B,oulad_DDD_2013B,D0_within_cohort,gradient_boosting,0.8224229162030512
S_shared7,7,oulad_DDD_2013B,oulad_DDD_2013J,D1_same_module,gradient_boosting,0.8612889822387505
S_shared7,7,oulad_DDD_2013B,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.8580724194541922
S_shared7,7,oulad_DDD_2013B,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.85063980557304
S_shared7,7,oulad_DDD_2013B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8211025108203818
S_shared7,7,oulad_DDD_2013B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8599464969327982
S_shared7,7,oulad_DDD_2013B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8591184635738607
S_shared7,7,oulad_DDD_2013B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8861655820306222
S_shared7,7,oulad_DDD_2013J,oulad_BBB_2013B,D2_other_module,gradient_boosting,0.8451889439498148
S_shared7,7,oulad_DDD_2013J,oulad_BBB_2013J,D2_other_module,gradient_boosting,0.8252858561270898
S_shared7,7,oulad_DDD_2013J,oulad_BBB_2014B,D2_other_module,gradient_boosting,0.8448593589413187
S_shared7,7,oulad_DDD_2013J,oulad_BBB_2014J,D2_other_module,gradient_boosting,0.8243718019005849
S_shared7,7,oulad_DDD_2013J,oulad_DDD_2013B,D1_same_module,gradient_boosting,0.832906807111243
S_shared7,7,oulad_DDD_2013J,oulad_DDD_2013J,D0_within_cohort,gradient_boosting,0.8592495222225003
S_shared7,7,oulad_DDD_2013J,oulad_DDD_2014B,D1_same_module,gradient_boosting,0.856563100139086
S_shared7,7,oulad_DDD_2013J,oulad_DDD_2014J,D1_same_module,gradient_boosting,0.8495239237079001
S_shared7,7,oulad_DDD_2013J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.8188977043576627
S_shared7,7,oulad_DDD_2013J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.860355841520225
S_shared7,7,oulad_DDD_2013J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.8618557558143738
