cohort_id,institution,rule,n_students,auc,recall_at_flag20,cutoff
oulad_FFF_2013J,OULAD,active_weeks,2283,0.8205710068723767,0.37457912457912457,f25
oulad_FFF_2013J,OULAD,weeks_since_active,2283,0.7937956428824009,0.38215488215488214,f25
oulad_FFF_2014B,OULAD,cum_active_days,1500,0.8206861214132345,0.33687943262411346,f25
oulad_FFF_2014B,OULAD,cum_clicks,1500,0.8105186486506026,0.3404255319148936,f25
oulad_FFF_2014B,OULAD,active_weeks,1500,0.8040789178794254,0.34515366430260047,f25
oulad_FFF_2014B,OULAD,weeks_since_active,1500,0.77036747854628,0.34988179669030733,f25
oulad_FFF_2014J,OULAD,cum_active_days,2365,0.8644925883203638,0.37580128205128205,f25
oulad_FFF_2014J,OULAD,cum_clicks,2365,0.8578255199366436,0.3733974358974359,f25
oulad_FFF_2014J,OULAD,active_weeks,2365,0.8669491598374768,0.3766025641025641,f25
oulad_FFF_2014J,OULAD,weeks_since_active,2365,0.8366266958198472,0.3766025641025641,f25
ku_Accountancy_1819,KU Leuven,cum_active_days,756,0.6298723582339403,0.28,f25
ku_Accountancy_1819,KU Leuven,cum_clicks,756,0.6439129525005232,0.3244444444444444,f25
ku_Accountancy_1819,KU Leuven,active_weeks,756,0.5692069470600544,0.24444444444444444,f25
ku_Accountancy_1819,KU Leuven,weeks_since_active,756,0.5111906256539025,0.21777777777777776,f25
ku_Globaleconom_1819,KU Leuven,cum_active_days,743,0.6029333824070667,0.2553846153846154,f25
ku_Globaleconom_1819,KU Leuven,cum_clicks,743,0.6103974972396025,0.27076923076923076,f25
ku_Globaleconom_1819,KU Leuven,active_weeks,743,0.5690688259109311,0.25846153846153846,f25
ku_Globaleconom_1819,KU Leuven,weeks_since_active,743,0.539885903570114,0.24307692307692308,f25
ku_Accountancy_1920,KU Leuven,cum_active_days,711,0.6442905289097465,0.31004366812227074,f25
ku_Accountancy_1920,KU Leuven,cum_clicks,711,0.6647882730254219,0.33624454148471616,f25
ku_Accountancy_1920,KU Leuven,active_weeks,711,0.5650446646976752,0.2794759825327511,f25
ku_Accountancy_1920,KU Leuven,weeks_since_active,711,0.5234648208882206,0.22270742358078602,f25
ku_Globaleconom_1920,KU Leuven,cum_active_days,681,0.6554090263053659,0.281437125748503,f25
ku_Globaleconom_1920,KU Leuven,cum_clicks,681,0.6372585568163285,0.32335329341317365,f25
ku_Globaleconom_1920,KU Leuven,active_weeks,681,0.6039166802581607,0.2994011976047904,f25
ku_Globaleconom_1920,KU Leuven,weeks_since_active,681,0.578951047321699,0.30538922155688625,f25
ku_Accountancy_2021,KU Leuven,cum_active_days,725,0.6779001415145687,0.3271889400921659,f25
ku_Accountancy_2021,KU Leuven,cum_clicks,725,0.6776416052832106,0.3225806451612903,f25
ku_Accountancy_2021,KU Leuven,active_weeks,725,0.5240075837294532,0.2350230414746544,f25
ku_Accountancy_2021,KU Leuven,weeks_since_active,725,0.5152536376501324,0.2119815668202765,f25
ku_Globaleconom_2021,KU Leuven,cum_active_days,335,0.6696390355257527,0.2883435582822086,f25
ku_Globaleconom_2021,KU Leuven,cum_clicks,335,0.6294407190754745,0.26993865030674846,f25
ku_Globaleconom_2021,KU Leuven,active_weeks,335,0.5637038093879297,0.26380368098159507,f25
ku_Globaleconom_2021,KU Leuven,weeks_since_active,335,0.5375945213297189,0.24539877300613497,f25
ukzn_ISTN101_2019,UKZN,cum_active_days,1056,0.6737572297566813,0.375,f25
ukzn_ISTN101_2019,UKZN,cum_clicks,1056,0.6393005833665735,0.33695652173913043,f25
ukzn_ISTN101_2019,UKZN,active_weeks,1056,0.6650067311527722,0.3641304347826087,f25
ukzn_ISTN101_2019,UKZN,weeks_since_active,1056,0.5559745213402473,0.2826086956521739,f25
ukzn_ISTN101_2020,UKZN,cum_active_days,978,0.7344851826629468,0.4489795918367347,f25
ukzn_ISTN101_2020,UKZN,cum_clicks,978,0.5897168339887086,0.2857142857142857,f25
ukzn_ISTN101_2020,UKZN,active_weeks,978,0.7364622921289076,0.4489795918367347,f25
ukzn_ISTN101_2020,UKZN,weeks_since_active,978,0.7044001669559105,0.3877551020408163,f25
ukzn_ISTN101_2021,UKZN,cum_active_days,741,0.7962026501849511,0.5396825396825397,f25
ukzn_ISTN101_2021,UKZN,cum_clicks,741,0.8264503441494592,0.6507936507936508,f25
ukzn_ISTN101_2021,UKZN,active_weeks,741,0.6661047899985955,0.42857142857142855,f25
ukzn_ISTN101_2021,UKZN,weeks_since_active,741,0.6312567308142529,0.38095238095238093,f25
