feature_set,n_features,D0_within_cohort,rule_days_auc,gain_over_rule
A_engagement_plus_assessment,17,0.9020805030105224,0.8299236460199478,0.07215685699057461
E_rich_engagement,11,0.8607765477074151,0.8299236460199478,0.030852901687467238
S_shared7,7,0.8582686392046731,0.8299236460199478,0.028344993184725276
