institution,rule_days_auc,local_auc,local_gain_over_rule
KU Leuven,0.6553247334650497,0.6109485042276801,-0.04437622923736967
OULAD,0.8299236460199478,0.8454069843166542,0.015483338296706445
Oviedo,0.6308445130490988,0.6057503057671032,-0.025094207281995684
UKZN,0.7169329690127507,0.666590383542053,-0.05034258547069774
Zambia,0.5646444515306122,0.5268415178571428,-0.03780293367346926
