cohort_id,institution,n_students,rule_days_auc,rule_days_recall,rule_best_auc,rule_best_name,local_auc,local_recall,transferred_auc,transferred_recall,local_gain_over_rule,transferred_gain_over_rule,cutoff
ku_Accountancy_1819,KU Leuven,756,0.6298723582339403,0.28,0.6439129525005232,cum_clicks,0.5842854153588617,0.2488888888888888,0.5315912086137083,0.22884990253411303,-0.045586942875078584,-0.09828114962023193,f25
ku_Accountancy_1920,KU Leuven,711,0.6442905289097465,0.31004366812227074,0.6647882730254219,cum_clicks,0.6225697149794343,0.3056768558951965,0.5303060646779028,0.23404581322301382,-0.02172081393031222,-0.11398446423184372,f25
ku_Accountancy_2021,KU Leuven,725,0.6779001415145687,0.3271889400921659,0.6779001415145687,cum_active_days,0.6451567545992235,0.3133640552995391,0.5303284723110799,0.2501414827391058,-0.032743386915345174,-0.14757166920348874,f25
ku_Globaleconom_1819,KU Leuven,743,0.6029333824070667,0.2553846153846154,0.6103974972396025,cum_clicks,0.5502245123297754,0.2461538461538461,0.5356605905636376,0.22715249662618078,-0.0527088700772913,-0.06727279184342916,f25
ku_Globaleconom_1920,KU Leuven,681,0.6554090263053659,0.281437125748503,0.6554090263053659,cum_active_days,0.6109065914862881,0.3053892215568862,0.5616503016902914,0.2614770459081836,-0.044502434819077785,-0.0937587246150745,f25
ku_Globaleconom_2021,KU Leuven,335,0.6696390355257527,0.2883435582822086,0.6696390355257527,cum_active_days,0.6383934940790412,0.2453987730061349,0.5568623549171116,0.250026907760198,-0.031245541446711433,-0.1127766806086411,f25
oulad_AAA_2013J,OULAD,383,0.7318773552586503,0.4380952380952381,0.7431654676258993,active_weeks,0.6686879068174032,0.4285714285714285,0.5957379550904731,0.31406926406926405,-0.06318944844124708,-0.13613940016817716,f25
oulad_AAA_2014J,OULAD,365,0.723443675889328,0.35714285714285715,0.7308900338791643,active_weeks,0.6861942405420667,0.3660714285714285,0.5969173489553925,0.2958603896103896,-0.03724943534726133,-0.1265263269339355,f25
oulad_BBB_2013B,OULAD,1767,0.8139529926675382,0.36099585062240663,0.8232806953178691,active_weeks,0.8209915617265131,0.3620331950207469,0.635781385275793,0.27209072048283667,0.007038569058974931,-0.1781716073917452,f25
oulad_BBB_2013J,OULAD,2237,0.8142715873422587,0.3742489270386266,0.8365859810390108,active_weeks,0.8397572224713344,0.3768240343347639,0.6282669999592362,0.259851736246586,0.025485635129075757,-0.1860045873830225,f25
oulad_BBB_2014B,OULAD,1613,0.8203422643536473,0.36455981941309257,0.8403594350138639,active_weeks,0.8458211332635743,0.3645598194130925,0.634942004210947,0.2527960188795403,0.02547886890992701,-0.18540026014270028,f25
oulad_BBB_2014J,OULAD,2292,0.8187682748538012,0.393859649122807,0.8405244883040937,active_weeks,0.848897797880117,0.3973684210526316,0.6246256077773347,0.26172248803827747,0.030129523026315774,-0.19414266707646655,f25
oulad_CCC_2014B,OULAD,1936,0.8369103517895162,0.30243519245875883,0.8525584745953491,active_weeks,0.8668481834694117,0.3032207384131972,0.6616078363513787,0.2510533457116332,0.0299378316798955,-0.17530251543813757,f25
oulad_CCC_2014J,OULAD,2498,0.818902570677863,0.327714093054619,0.8341778248723629,active_weeks,0.8546050642918596,0.3331085637221848,0.6506823036056649,0.270643045423895,0.03570249361399658,-0.16822026707219806,f25
oulad_DDD_2013B,OULAD,1303,0.7975743639195906,0.3266078184110971,0.8000976683233192,active_weeks,0.7998998590609004,0.3291298865069357,0.6332808464438165,0.2737590278573885,0.0023254951413098635,-0.16429351747577403,f25
oulad_DDD_2013J,OULAD,1938,0.8223320327923416,0.3408476104598738,0.8321399319744909,active_weeks,0.8392731473273285,0.3408476104598738,0.6452078350664706,0.27670300844331497,0.016941114534986923,-0.17712419772587096,f25
oulad_DDD_2014B,OULAD,1228,0.8110452071098277,0.32176234979973295,0.8191283576431763,active_weeks,0.8128945762059921,0.3257676902536716,0.6393378049964006,0.2695412064570943,0.0018493690961643994,-0.17170740211342717,f25
oulad_DDD_2014J,OULAD,1803,0.8294542856857396,0.34718100890207715,0.8294542856857396,cum_active_days,0.8420905394199162,0.3521266073194856,0.6334776963275413,0.2736039924467224,0.012636253734176539,-0.1959765893581984,f25
oulad_EEE_2013J,OULAD,1052,0.8614314255319937,0.46275395033860045,0.8614314255319937,cum_active_days,0.8448368527764496,0.4717832957110609,0.6759834020575828,0.3642006977221424,-0.0165945727555441,-0.18544802347441092,f25
oulad_EEE_2014B,OULAD,694,0.8521598550399389,0.4094955489614243,0.8592748672169165,active_weeks,0.8864673465825499,0.4065281899109792,0.6820336308248683,0.3243862961963852,0.034307491542611035,-0.1701262242150705,f25
oulad_EEE_2014J,OULAD,1188,0.8709809825489649,0.4642857142857143,0.8709809825489649,cum_active_days,0.8711303722268635,0.4702380952380952,0.678381922556813,0.3585407647907648,0.00014938967789857038,-0.192599059992152,f25
oulad_FFF_2013B,OULAD,1614,0.7971647218670076,0.36538461538461536,0.7971647218670076,cum_active_days,0.8161941459276019,0.375,0.6302721240755728,0.2920126748251748,0.01902942406059427,-0.16689259779143484,f25
oulad_FFF_2013J,OULAD,2283,0.8272550466614395,0.3728956228956229,0.8272550466614395,cum_active_days,0.8350671863228941,0.3804713804713804,0.64799488415356,0.29717630853994487,0.0078121396614546645,-0.17926016250787946,f25
oulad_FFF_2014B,OULAD,1500,0.8206861214132345,0.33687943262411346,0.8206861214132345,cum_active_days,0.8285573051091302,0.3498817966903073,0.6491474500026618,0.2841446378680421,0.007871183695895678,-0.17153867141057266,f25
oulad_FFF_2014J,OULAD,2365,0.8644925883203638,0.37580128205128205,0.8669491598374768,active_weeks,0.87991529508987,0.375801282051282,0.6713812092022421,0.30536130536130535,0.01542270676950619,-0.1931113791181217,f25
oviedo_C1112_1415,Oviedo,199,0.7538665038665039,0.3333333333333333,0.7538665038665039,cum_active_days,0.6979039479039479,0.3055555555555556,0.6307062876830318,0.26658053402239446,-0.05596255596255595,-0.12316021618347206,f25
oviedo_C1127_1415,Oviedo,106,0.5332950631458093,0.3076923076923077,0.5951014159969383,weeks_since_active,0.6794871794871795,0.2564102564102564,0.5296237951565963,0.25700655933214067,0.1461921163413702,-0.003671267989213023,f25
oviedo_C1200_1415,Oviedo,107,0.6226380813953488,0.28125,0.6226380813953488,cum_active_days,0.5890261627906976,0.21875,0.5758011087074094,0.24345930232558138,-0.03361191860465118,-0.046836972687939404,f25
oviedo_C1303_1415,Oviedo,112,0.65,0.24285714285714285,0.6642857142857143,cum_clicks,0.5137755102040816,0.1857142857142857,0.5632771713336497,0.2225913621262458,-0.1362244897959184,-0.08672282866635028,f25
oviedo_C174_1415,Oviedo,96,0.9235294117647059,0.4222222222222222,0.9335511982570806,cum_clicks,0.915686274509804,0.4,0.8108831129350964,0.38604651162790693,-0.007843137254901933,-0.11264629882960953,f25
oviedo_C190_1415,Oviedo,112,0.4607843137254902,0.19672131147540983,0.4607843137254902,cum_active_days,0.539376406300225,0.180327868852459,0.4518587457857714,0.17384674037361794,0.07859209257473476,-0.008925567939718826,f25
oviedo_C1978_1415,Oviedo,164,0.6738209285187915,0.3695652173913043,0.6738209285187915,cum_active_days,0.5646647015475313,0.2608695652173913,0.6101823447755823,0.3023255813953488,-0.10915622697126015,-0.06363858374320919,f25
oviedo_C2011_1415,Oviedo,120,0.7283142389525368,0.4230769230769231,0.7283142389525368,cum_active_days,0.5777414075286416,0.2307692307692307,0.6370085258630532,0.36046511627906974,-0.15057283142389521,-0.09130571308948354,f25
oviedo_C2024_1415,Oviedo,327,0.5666783216783217,0.28846153846153844,0.5666783216783217,cum_active_days,0.4983566433566433,0.1923076923076923,0.5221369328346072,0.2173524150268336,-0.06832167832167835,-0.0445413888437145,f25
oviedo_C2150_1415,Oviedo,106,0.7347091932457785,0.4146341463414634,0.7932457786116324,active_weeks,0.6382739212007505,0.3658536585365853,0.64703957415245,0.31083380601247873,-0.096435272045028,-0.0876696190933286,f25
oviedo_C2271_1415,Oviedo,596,0.5880537800308573,0.26720647773279355,0.5887556117536513,active_weeks,0.5281080704847859,0.2226720647773279,0.5359934594625072,0.22257791168439878,-0.05994570954607137,-0.05206032056835008,f25
oviedo_C2335_1415,Oviedo,428,0.527111444277861,0.2,0.5350574712643679,active_weeks,0.4976761619190405,0.196551724137931,0.49303836453866084,0.19639133921411384,-0.029435282358820536,-0.03407307973920021,f25
oviedo_C2406_1415,Oviedo,133,0.6325301204819277,0.24096385542168675,0.7602409638554217,cum_clicks,0.707710843373494,0.2891566265060241,0.5749285514149622,0.23788175959652558,0.0751807228915663,-0.05760156906696545,f25
oviedo_C2468_1415,Oviedo,82,0.6519928613920285,0.3170731707317073,0.6778703152885187,cum_clicks,0.562760261748959,0.2439024390243902,0.5957555718495359,0.2614861032331254,-0.08923259964306951,-0.05623728954249263,f25
oviedo_C2607_1415,Oviedo,277,0.4896924523233951,0.19607843137254902,0.5065135643298415,active_weeks,0.4558487778673113,0.2205882352941176,0.49376206360212127,0.1927724578203374,-0.03384367445608377,0.004069611278726182,f25
oviedo_C3022_1415,Oviedo,238,0.5399653979238754,0.25,0.5440311418685121,active_weeks,0.5353806228373702,0.2205882352941176,0.5135541562726321,0.20109439124487,-0.004584775086505233,-0.02641124165124331,f25
oviedo_C3029_1415,Oviedo,231,0.5310271646859083,0.15789473684210525,0.5340407470288625,active_weeks,0.5009762308998302,0.1578947368421052,0.5062196470170174,0.1961444308445532,-0.030050933786078038,-0.02480751766889089,f25
oviedo_C4189_1415,Oviedo,128,0.4876225490196079,0.25,0.48921568627450984,active_weeks,0.5012254901960784,0.2166666666666666,0.49956965344277243,0.26085271317829456,0.01360294117647054,0.011947104423164545,f25
oviedo_C4213_1415,Oviedo,140,0.6516007532956686,0.3220338983050847,0.6516007532956686,cum_active_days,0.6246076585059636,0.3050847457627119,0.5840888188148732,0.26487977926685063,-0.02699309478970502,-0.0675119344807954,f25
oviedo_C836_1415,Oviedo,87,0.5808668076109936,0.3181818181818182,0.5808668076109936,cum_active_days,0.581923890063425,0.2727272727272727,0.5336176803185997,0.21670190274841433,0.0010570824524314126,-0.047249127292393944,f25
ukzn_ISTN101_2019,UKZN,1056,0.6737572297566813,0.375,0.6737572297566813,cum_active_days,0.5958534852413242,0.3097826086956521,0.5624208333686953,0.2680388529139685,-0.07790374451535709,-0.11133639638798598,f25
ukzn_ISTN101_2020,UKZN,978,0.7344851826629468,0.4489795918367347,0.7364622921289076,active_weeks,0.6999297027745436,0.4285714285714285,0.6112374134547206,0.29830655666521927,-0.03455547988840324,-0.12324776920822622,f25
ukzn_ISTN101_2021,UKZN,741,0.7962026501849511,0.5396825396825397,0.8264503441494592,cum_clicks,0.7861708105070937,0.5238095238095238,0.6104904565646423,0.3356973995271867,-0.010031839677857368,-0.18571219362030877,f25
ukzn_ISTN102_2018,UKZN,257,0.6570961718020542,0.3235294117647059,0.6570961718020542,cum_active_days,0.5314347961406783,0.2352941176470588,0.539739654727139,0.22872340425531912,-0.1256613756613758,-0.11735651707491512,f25
ukzn_ISTN103_2019,UKZN,1113,0.6590118901189013,0.27666666666666667,0.6602193521935219,cum_clicks,0.6179520295202952,0.2766666666666666,0.5415166226130347,0.22510638297872337,-0.04105986059860611,-0.11749526750586659,f25
ukzn_ISTN103_2020,UKZN,1082,0.6983229171350209,0.3565217391304348,0.6983229171350209,cum_active_days,0.6591385279438875,0.3130434782608696,0.5545547948154023,0.24606845513413503,-0.03918438919113343,-0.14376812231961866,f25
ukzn_ISTN211_2019,UKZN,280,0.7905827787860455,0.5263157894736842,0.7918935269207502,active_weeks,0.5998185117967332,0.3684210526315789,0.5941293071269517,0.3023516237402015,-0.19076426698931237,-0.19645347165909388,f25
ukzn_ISTN211_2021,UKZN,327,0.7577798861480076,0.47058823529411764,0.7644212523719165,cum_clicks,0.6953510436432637,0.3529411764705882,0.6166256207355969,0.3391739674593241,-0.0624288425047439,-0.14115426541241072,f25
ukzn_ISTN212_2018,UKZN,238,0.7635309278350515,0.38636363636363635,0.7635309278350515,cum_active_days,0.7098172446110591,0.3409090909090909,0.5748943149414744,0.27852998065764023,-0.05371368322399239,-0.18863661289357714,f25
ukzn_ISTN212_2019,UKZN,264,0.7724688974688976,0.38095238095238093,0.7724688974688976,cum_active_days,0.7253324753324752,0.4047619047619047,0.5759889829038766,0.2781155015197568,-0.04713642213642233,-0.196479914565021,f25
ukzn_ISTN2IP_2018,UKZN,99,0.7108108108108109,0.28,0.7502702702702704,cum_clicks,0.5935135135135136,0.2,0.5729959746981024,0.24000000000000002,-0.11729729729729732,-0.1378148361127085,f25
ukzn_ISTN2IP_2019,UKZN,116,0.7061688311688311,0.39285714285714285,0.7061688311688311,cum_active_days,0.549512987012987,0.2142857142857142,0.5993368333793866,0.29559270516717323,-0.1566558441558441,-0.10683199778944452,f25
ukzn_ISTN3ND_2018,UKZN,144,0.627142569066344,0.22807017543859648,0.627142569066344,cum_active_days,0.5004033071183707,0.2456140350877192,0.5302759221359832,0.21985815602836872,-0.12673926194797336,-0.09686664693036084,f25
ukzn_ISTN3ND_2019,UKZN,223,0.7246698831894363,0.4318181818181818,0.7835830370746573,cum_clicks,0.6867064499746064,0.3863636363636363,0.5651994208097857,0.2669245647969052,-0.03796343321482987,-0.15947046237965057,f25
ukzn_ISTN3SA_2018,UKZN,141,0.6906906906906908,0.4,0.6906906906906908,cum_active_days,0.6345345345345345,0.2666666666666666,0.5899846655165804,0.2815602836879432,-0.05615615615615632,-0.10070602517411043,f25
ukzn_ISTN3SA_2019,UKZN,195,0.5930588235294119,0.32,0.5930588235294119,cum_active_days,0.6430588235294118,0.36,0.5346382978723404,0.2374468085106383,0.04999999999999993,-0.058420525657071454,f25
zambia_ICT1110_2020,Zambia,65,0.5497448979591837,0.1836734693877551,0.5778061224489796,active_weeks,0.4853316326530612,0.1836734693877551,0.5068375710940114,0.19437939110070254,-0.06441326530612251,-0.04290732686517229,f25
zambia_ICT1110_2021,Zambia,52,0.57421875,0.25,0.61171875,active_weeks,0.3984375,0.125,0.5472848360655738,0.2182377049180328,-0.17578125,-0.026933913934426235,f25
ku_Accountancy_1819,KU Leuven,756,0.6438208830299226,0.29333333333333333,0.6460724000836995,cum_clicks,0.6125925925925926,0.28,0.5502900482006439,0.24358674463937618,-0.031228290437329997,-0.09353083482927871,f33
ku_Accountancy_1920,KU Leuven,711,0.6573592563735527,0.29694323144104806,0.6805386943050244,cum_clicks,0.6356339125550382,0.2794759825327511,0.5501387894167825,0.2535815521336091,-0.021725343818514542,-0.10722046695677023,f33
ku_Accountancy_2021,KU Leuven,725,0.6840233680467361,0.3317972350230415,0.6840233680467361,cum_active_days,0.6528584128596829,0.2903225806451613,0.5265995506928357,0.24076319831837656,-0.0311649551870532,-0.15742381735390043,f33
