feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json,metric_mae,metric_rmse,metric_r2
B_lms_plus_trends,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.882008283657686,3.587446513349438,0.9701144519092599
B_lms_plus_trends,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.6057510446393244,3.310151806489912,0.9745559536326165
B_lms_plus_mastery,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_mastery,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_mastery,gradient_boosting,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_mastery,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.051654751178615,2.7555552521432243,0.9823677147652597
B_lms_plus_mastery,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.642528447991225,2.045498252673773,0.9902839759463561
B_lms_plus_mastery,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.5104047091770574,1.8942486343694849,0.9916677110671815
B_lms_plus_mastery,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_mastery,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_mastery,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms_plus_mastery,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",1.7757139995752074,2.276347864647516,0.9879671745624369
B_lms_plus_mastery,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.744473222837435,3.364204282497387,0.973718201925237
B_lms_plus_mastery,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.834831245855141,3.573956843987155,0.9703387831695374
B_lms_plus_indices,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_indices,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_indices,gradient_boosting,passed,classification,student_group,602,196,86,28,0.9948979591836735,0.9929078014184397,1.0,0.99644128113879,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms_plus_indices,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.1219144766226363,2.8121685708206674,0.9816357559351309
B_lms_plus_indices,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.7585304994505977,2.2321889558413575,0.9884294962956652
B_lms_plus_indices,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.5671279020528999,2.0346138885227494,0.9903871013160898
