metric,students,mean,sd,p10,median
self_tau_shap,11875,0.8161740350877194,0.14915398126462026,0.619047619047619,0.8476190476190476
self_tau_occlusion,11875,0.7966404010025063,0.1864909762814695,0.523809523809524,0.8476190476190476
self_jaccard_shap,11875,0.8457574736842106,0.16976270271657848,0.6,0.8
cross_tau,11875,0.5447017543859649,0.2789278609755996,0.14285714285714288,0.580952380952381
cross_jaccard_top3,11875,0.6790383157894737,0.23541444529793934,0.38,0.64
self_taub_shap,11875,0.8161190862117305,0.14919442864194218,0.619047619047619,0.8476190476190476
self_jaccard_occlusion,11875,0.8142652631578947,0.182811282477124,0.55,0.8
self_taub_occlusion,11837,0.7933945705485381,0.18687396899047418,0.5238095238095238,0.8476190476190476
self_tau_lime,11875,0.6587981954887219,0.19613266033764337,0.39047619047619053,0.6761904761904762
self_jaccard_lime,11875,0.7220193684210526,0.18730461731795572,0.49000000000000005,0.7
self_taub_lime,11875,0.6585533605385843,0.19617856897449687,0.39047619047619053,0.6761904761904762
self_tau_kernelshap_prob,11875,0.8323761403508773,0.14121919249163614,0.6380952380952382,0.8666666666666668
self_jaccard_kernelshap_prob,11875,0.859546947368421,0.16581000046866515,0.62,1.0
self_taub_kernelshap_prob,11875,0.8323254286601476,0.14125736701658467,0.6380952380952382,0.8666666666666668
cross_tau_shap__occlusion,11875,0.5447017543859649,0.2789278609755996,0.14285714285714288,0.580952380952381
cross_jaccard_top3_shap__occlusion,11875,0.6790383157894737,0.23541444529793934,0.38,0.64
cross_taub_shap__occlusion,11837,0.5566616987895058,0.2778272019630092,0.16124622652886972,0.6
cross_tau_shap__lime,11875,0.6406632581453634,0.1878530894442761,0.39047619047619053,0.6571428571428573
cross_jaccard_top3_shap__lime,11875,0.6999831578947368,0.19887099151864288,0.44000000000000006,0.7
cross_taub_shap__lime,11875,0.6413160558196395,0.18723622447967345,0.39047619047619053,0.6571428571428573
cross_tau_shap__kernelshap_prob,11875,0.8606227568922307,0.15697226519038227,0.6380952380952383,0.9238095238095237
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8759915789473686,0.16233567614626432,0.6,1.0
cross_taub_shap__kernelshap_prob,11875,0.8606196036394717,0.15697278032500234,0.6380952380952383,0.9238095238095237
cross_tau_occlusion__lime,11875,0.3829213032581454,0.28345106304729567,0.009523809523809523,0.39047619047619053
cross_jaccard_top3_occlusion__lime,11875,0.5670012631578948,0.21918692967010042,0.31999999999999995,0.5
cross_taub_occlusion__lime,11837,0.39153537573027186,0.2793334740711104,0.01951800145897066,0.3998620360031876
cross_tau_occlusion__kernelshap_prob,11875,0.5604547368421053,0.2734714347240677,0.18095238095238098,0.6
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.6916311578947367,0.2356514528890993,0.38,0.7
cross_taub_occlusion__kernelshap_prob,11837,0.574109752910582,0.27245384799500794,0.18623288011050634,0.6190476190476191
cross_tau_lime__kernelshap_prob,11875,0.6267067669172933,0.1959388134346381,0.37142857142857144,0.6380952380952382
cross_jaccard_top3_lime__kernelshap_prob,11875,0.6924816842105262,0.20312083473218712,0.44000000000000006,0.7
cross_taub_lime__kernelshap_prob,11875,0.6273566796824486,0.19536600514232563,0.37142857142857144,0.6380952380952382
lime_seed_tau,11875,0.8712862155388472,0.1438279903933905,0.7142857142857143,0.9047619047619049
