group,students,cohorts,spearman_pooled,spearman_pooled_ci_low,spearman_pooled_ci_high,spearman_pooled_n_boot,spearman_within_cohort_mean,spearman_within_cohort_mean_ci_low,spearman_within_cohort_mean_ci_high,spearman_within_cohort_mean_n_boot
KU Leuven,1314,6,0.3881419342964662,0.22575036742707233,0.4558796770981488,1000,0.2669793763746754,0.1679666409933671,0.3490975762360677,1000
OULAD,6829,19,0.3694703278117602,0.2608412406678686,0.4799471957134387,1000,0.33178401798878626,0.255596938226621,0.4154051255507847,1000
Oviedo,1271,20,0.23079890614842283,0.021253754234262907,0.38116793175062846,1000,0.15258291289262185,0.026750043230368843,0.2575493256738398,1000
UKZN,2421,16,0.319401354693806,0.20704692724225676,0.42225236363629887,1000,0.19416954268972184,0.10290747978517584,0.2808298137647932,1000
Zambia,40,2,-0.21832089362499882,-0.21832089362499882,0.26414289483163833,1000,0.17172466587603746,0.07930643692043668,0.2641428948316383,1000
ALL,11875,63,0.3468953892948136,0.27633456716179117,0.4201917714188066,1000,0.22869195035992146,0.1764233293448111,0.277655172434431,1000
