run,students,cohorts,c_star,no_gate_coverage,no_gate_mean_cross_tau,no_gate_lift,no_gate_lift_ci_low,no_gate_lift_ci_high,no_gate_efficiency,global_coverage,global_mean_cross_tau,global_lift,global_lift_ci_low,global_lift_ci_high,global_efficiency,cohort_calibrated_coverage,cohort_calibrated_mean_cross_tau,cohort_calibrated_lift,cohort_calibrated_lift_ci_low,cohort_calibrated_lift_ci_high,cohort_calibrated_efficiency,oracle_coverage,oracle_mean_cross_tau,oracle_lift,oracle_lift_ci_low,oracle_lift_ci_high,oracle_efficiency,calibrated_minus_global_coverage,calibrated_minus_global_mean_cross_tau,calibrated_minus_global_lift,calibrated_minus_global_lift_ci_low,calibrated_minus_global_lift_ci_high,calibrated_minus_global_efficiency,spread_coverage_no_gate,spread_mean_cross_tau_no_gate,spread_coverage_global,spread_mean_cross_tau_global,spread_coverage_cohort_calibrated,spread_mean_cross_tau_cohort_calibrated,spread_coverage_oracle,spread_mean_cross_tau_oracle,spread_coverage_no_gate_no_zambia,spread_mean_cross_tau_no_gate_no_zambia,spread_coverage_global_no_zambia,spread_mean_cross_tau_global_no_zambia,spread_coverage_cohort_calibrated_no_zambia,spread_mean_cross_tau_cohort_calibrated_no_zambia,spread_coverage_oracle_no_zambia,spread_mean_cross_tau_oracle_no_zambia,spearman_within_cohort_mean
f33_background,11875,63,0.5555368421052631,1.0,0.3460178446115288,0.0,0.0,0.0,,0.5555368421052631,0.40985585078354525,0.06383800617201646,0.04414110064835905,0.0841540230895824,0.3693792348527696,0.5584,0.4188020193750853,0.07278417476355653,0.060881645541637296,0.08490403838289565,0.42114352242000097,0.5584,0.5188429526538408,0.17282510804231205,0.16313135257125325,0.18315542531767035,1.0,0.0028631578947369007,0.008946168591540071,0.008946168591540071,-0.01132384147542178,0.03273464328558771,0.05176428756723139,0.0,0.3446124209696967,0.4407160638453653,0.3284699105224639,0.017670962073509933,0.28655570522788154,0.017670962073509933,0.22738232046088747,0.0,0.3446124209696967,0.14709772431624513,0.2893192634562495,0.005220135952345495,0.28655570522788154,0.005220135952345495,0.22738232046088747,0.4010428655046494
f33_background_bg20,11875,63,0.2885052631578947,1.0,0.35580711779448626,0.0,0.0,0.0,,0.2885052631578947,0.4507102549134073,0.09490313711892107,0.06719798052927196,0.12715355238546006,0.3839328883269585,0.29145263157894735,0.4554450268983641,0.09963790910387782,0.07275294558463119,0.12428989510157838,0.40308752050182667,0.29145263157894735,0.6029939048719748,0.24718678707748853,0.23049770568568476,0.2633131005279312,1.0,0.002947368421052643,0.004734771984956754,0.004734771984956754,-0.027159250294402124,0.033516363134577676,0.01915463217486818,0.0,0.31714869052933753,0.07817159217576797,0.25286416140713874,0.03491360374871871,0.2530832738993513,0.03491360374871871,0.15733112033779906,0.0,0.31714869052933753,0.07817159217576797,0.25286416140713874,0.006530440884832012,0.2530832738993513,0.006530440884832012,0.15733112033779906,0.4310600643505482
f33_background_bg200,11875,63,0.7490526315789474,1.0,0.34625363408521304,0.0,0.0,0.0,,0.7490526315789474,0.3771118070612169,0.03085817297600385,0.019498118007886346,0.04319455148522141,0.285445494859252,0.7513263157894737,0.3818447710848518,0.035591136999638784,0.031118725405788625,0.04051962812214439,0.3292265462820983,0.7513263157894737,0.4543589415142879,0.10810530742907487,0.1028481652579355,0.11350502097116491,1.0,0.0022736842105263166,0.0047329640236349335,0.0047329640236349335,-0.00772649636012143,0.01616973072776886,0.04378105142284627,0.0,0.3590305544658155,0.6886605783866058,0.37696844695324944,0.024963391418948655,0.33364355832963905,0.024963391418948655,0.29021636480893764,0.0,0.3590305544658155,0.18091077508212117,0.3335668394863061,0.005274170333189443,0.33364355832963905,0.005274170333189443,0.29021636480893764,0.3176873614144327
f33_both,11875,63,0.010105263157894737,1.0,0.35903598997493735,0.0,0.0,0.0,,0.010105263157894737,0.708095238095238,0.34905924812030065,0.2327502155931805,0.4199339231795254,0.9905408527058561,0.013473684210526317,0.498452380952381,0.13941639097744363,0.09683753682004428,0.18106258724364024,0.39562805324205513,0.013473684210526317,0.7114285714285715,0.35239258145363417,0.33206656304852383,0.37282547676933164,1.0,0.0033684210526315796,-0.20964285714285702,-0.20964285714285702,-0.28459265445360393,-0.08541155581366414,-0.594912799463801,0.0,0.3210564162936901,0.03576864535768645,,0.03740664811831894,0.266106442577031,0.03740664811831894,0.10364145658263302,0.0,0.3210564162936901,0.03340829917357945,0.2231457431457431,0.006289417591174953,0.25901895641977735,0.006289417591174953,0.09256725946192423,0.3620236500257799
f33_model,11875,63,0.007494736842105263,1.0,0.3541774436090226,0.0,0.0,0.0,,0.007494736842105263,0.6603531300160513,0.30617568640702875,0.2511453238410553,0.3766808548833418,0.8230240867703754,0.009431578947368421,0.5112244897959184,0.1570470461868958,0.1124385361146503,0.20050403572593717,0.4221546893051651,0.009431578947368421,0.7261904761904762,0.3720130325814536,0.3543982274637444,0.3899250247566949,1.0,0.0019368421052631578,-0.14912864022013295,-0.14912864022013295,-0.2345698808983331,-0.08219067112225001,-0.40086939746521033,0.0,0.34307776972320014,0.0380517503805175,,0.04238541514130913,0.23862803862803866,0.04238541514130913,0.1411255411255411,0.0,0.34307776972320014,0.03673384146266716,0.020920634920635006,0.009694620491427143,0.23862803862803866,0.009694620491427143,0.10669330669330668,0.39422819165892065
